Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
11m 25s,1.4 m,2 m,334°,7.53 m/s,,,,420
11m 50s,26.1 m,46 m,338°,6.34 m/s,,,,420
11m 55s,26.1 m,77 m,339°,5.12 m/s,,,,420
12m 00s,26.2 m,110 m,327°,4.63 m/s,,,,420
12m 05s,33.3 m,135 m,335°,6.59 m/s,,,,420
12m 10s,34.5 m,152 m,326°,8.28 m/s,,,,420
12m 15s,34.7 m,170 m,336°,7.58 m/s,,,,420
12m 20s,45.4 m,188 m,327°,7.96 m/s,,,,420
12m 30s,59.0 m,219 m,329°,8.06 m/s,,,,420
12m 55s,51.6 m,224 m,321°,10.22 m/s,13-18-Cu,,,420
13m 00s,62.5 m,224 m,322°,9.56 m/s,13-18-Cu,,,420
13m 05s,71.2 m,224 m,326°,9.35 m/s,13-18-Cu,,,420
13m 10s,79.1 m,224 m,321°,9.63 m/s,13-18-Cu,,,420
13m 15s,87.0 m,224 m,328°,8.95 m/s,13-18-Cu,,,420
13m 20s,95.0 m,224 m,321°,9.61 m/s,13-18-Cu,,,420
13m 30s,107.9 m,224 m,312°,10.04 m/s,13-18-Cu,,,420
13m 35s,113.9 m,225 m,317°,9.64 m/s,13-18-Cu,,,420
13m 40s,121.7 m,225 m,320°,8.30 m/s,13-18-Cu,,,420
13m 45s,128.7 m,225 m,313°,8.56 m/s,13-18-Cu,,,420
13m 50s,135.8 m,225 m,321°,7.97 m/s,13-18-Cu,,,420
13m 55s,142.7 m,225 m,319°,8.64 m/s,13-18-Cu,,,420
14m 00s,147.5 m,225 m,318°,7.88 m/s,13-18-Cu,,,420
14m 05s,147.4 m,225 m,312°,9.34 m/s,13-18-Cu,,,420
14m 25s,147.3 m,115 m,284°,7.59 m/s,,,,420
14m 30s,147.2 m,65 m,300°,5.03 m/s,,,,420
15m 50s,2.5 m,4 m,325°,10.82 m/s,,,,420
15m 55s,2.4 m,3 m,331°,10.04 m/s,,,,420
