Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
01m 25s,2.9 m,532 m,49°,2.19 m/s,12-15-Em,,,540
03m 00s,-110.0 m,531 m,43°,1.84 m/s,12-15-Em,,,540
03m 15s,-113.2 m,531 m,45°,2.09 m/s,12-15-Em,,,540
03m 30s,-117.8 m,531 m,57°,2.15 m/s,12-15-Em,,,540
03m 35s,-117.8 m,531 m,58°,2.23 m/s,12-15-Em,,,540
03m 40s,-117.8 m,531 m,54°,2.02 m/s,12-15-Em,,,540
03m 45s,-116.5 m,531 m,54°,2.18 m/s,12-15-Em,,,540
03m 50s,-114.7 m,531 m,61°,1.92 m/s,12-15-Em,,,540
03m 55s,-112.1 m,531 m,46°,2.21 m/s,12-15-Em,,,540
04m 00s,-109.7 m,530 m,55°,2.42 m/s,12-15-Em,,,540
04m 05s,-107.1 m,530 m,55°,2.09 m/s,12-15-Em,,,540
04m 10s,-104.5 m,530 m,59°,2.64 m/s,12-15-Em,,,540
04m 15s,-101.7 m,531 m,70°,2.42 m/s,12-15-Em,,,540
04m 20s,-98.6 m,530 m,57°,2.66 m/s,12-15-Em,,,540
04m 25s,-95.6 m,531 m,57°,2.57 m/s,12-15-Em,,,540
04m 30s,-92.6 m,531 m,78°,2.79 m/s,12-15-Em,,,540
04m 35s,-88.9 m,531 m,81°,2.66 m/s,12-15-Em,,,540
04m 40s,-84.5 m,530 m,79°,2.95 m/s,12-15-Em,,,540
04m 45s,-79.9 m,530 m,86°,2.04 m/s,12-15-Em,,,540
04m 50s,-75.3 m,530 m,85°,2.33 m/s,12-15-Em,,,540
04m 55s,-70.4 m,530 m,82°,2.54 m/s,12-15-Em,,,540
05m 00s,-65.3 m,530 m,75°,3.01 m/s,12-15-Em,,,540
05m 05s,-60.0 m,530 m,66°,3.12 m/s,12-15-Em,,,540
05m 10s,-54.8 m,530 m,73°,3.17 m/s,12-15-Em,,,540
05m 15s,-49.6 m,530 m,70°,3.15 m/s,12-15-Em,,,540
05m 20s,-44.3 m,530 m,74°,2.75 m/s,12-15-Em,,,540
05m 25s,-36.8 m,530 m,84°,3.03 m/s,12-15-Em,,,540
05m 30s,-26.3 m,529 m,94°,2.56 m/s,12-15-Em,,,540
05m 35s,-15.7 m,529 m,86°,2.51 m/s,12-15-Em,,,540
05m 40s,-4.6 m,529 m,71°,2.42 m/s,12-15-Em,,,540
05m 50s,18.1 m,529 m,66°,2.68 m/s,12-15-Em,,,540
05m 55s,28.8 m,529 m,64°,2.95 m/s,12-15-Em,,,540
06m 00s,39.4 m,529 m,74°,2.64 m/s,12-15-Em,,,540
06m 05s,50.0 m,529 m,70°,3.27 m/s,12-15-Em,,,540
06m 10s,60.5 m,529 m,72°,3.29 m/s,12-15-Em,,,540
