Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 10s,1.1 m,2 m,311°,4.35 m/s,13-18-Cm,7.1993,61.6805,420
00m 15s,1.2 m,2 m,337°,4.32 m/s,13-18-Cm,7.1993,61.6805,420
00m 20s,2.1 m,2 m,328°,4.71 m/s,13-18-Cm,7.1993,61.6805,420
00m 25s,4.3 m,2 m,324°,5.37 m/s,13-18-Cm,7.1993,61.6805,420
00m 30s,8.4 m,1 m,330°,4.78 m/s,13-18-Cm,7.1993,61.6805,420
00m 35s,13.4 m,1 m,322°,4.98 m/s,13-18-Cm,7.1993,61.6805,420
00m 40s,19.3 m,2 m,305°,5.21 m/s,13-18-Cm,7.1993,61.6805,420
00m 45s,25.7 m,1 m,286°,6.60 m/s,13-18-Cm,7.1993,61.6805,420
00m 50s,31.1 m,1 m,274°,3.78 m/s,13-18-Cm,7.1993,61.6805,420
00m 55s,36.7 m,2 m,287°,6.10 m/s,13-18-Cm,7.1993,61.6805,420
01m 00s,42.2 m,2 m,290°,5.52 m/s,13-18-Cm,7.1993,61.6805,420
01m 05s,48.2 m,2 m,297°,5.90 m/s,13-18-Cm,7.1993,61.6805,420
01m 10s,53.3 m,2 m,295°,6.29 m/s,13-18-Cm,7.1993,61.6805,420
01m 15s,58.6 m,1 m,280°,5.35 m/s,13-18-Cm,7.1993,61.6805,420
01m 20s,64.1 m,2 m,284°,7.07 m/s,13-18-Cm,7.1993,61.6805,420
01m 25s,70.3 m,2 m,293°,8.23 m/s,13-18-Cm,7.1993,61.6805,420
01m 30s,77.0 m,2 m,299°,8.70 m/s,13-18-Cm,7.1993,61.6805,420
01m 45s,94.8 m,2 m,268°,8.52 m/s,13-18-Cm,7.1993,61.6805,420
01m 50s,99.8 m,2 m,290°,8.70 m/s,13-18-Cm,7.1993,61.6805,420
01m 55s,104.6 m,2 m,286°,8.43 m/s,13-18-Cm,7.1993,61.6805,420
02m 00s,109.5 m,2 m,283°,8.51 m/s,13-18-Cm,7.1993,61.6805,420
02m 05s,113.9 m,2 m,292°,9.15 m/s,13-18-Cm,7.1993,61.6805,420
02m 10s,118.5 m,2 m,286°,9.08 m/s,13-18-Cm,7.1993,61.6805,420
02m 15s,126.6 m,1 m,282°,8.98 m/s,13-18-Cm,7.1993,61.6805,420
02m 20s,134.7 m,2 m,293°,8.01 m/s,13-18-Cm,7.1993,61.6805,420
02m 25s,143.7 m,2 m,298°,8.15 m/s,13-18-Cm,7.1993,61.6805,420
02m 30s,152.6 m,2 m,299°,8.30 m/s,13-18-Cm,7.1993,61.6805,420
02m 35s,159.4 m,2 m,293°,10.15 m/s,13-18-Cm,7.1993,61.6805,420
02m 40s,168.7 m,2 m,296°,9.77 m/s,13-18-Cm,7.1993,61.6805,420
02m 45s,178.7 m,2 m,295°,9.36 m/s,13-18-Cm,7.1993,61.6805,420
02m 50s,188.8 m,2 m,296°,9.96 m/s,13-18-Cm,7.1993,61.6805,420
02m 55s,198.8 m,2 m,304°,11.23 m/s,13-18-Cm,7.1993,61.6805,420
03m 00s,208.5 m,2 m,301°,11.49 m/s,13-18-Cm,7.1993,61.6805,420
03m 05s,217.4 m,2 m,298°,11.62 m/s,13-18-Cm,7.1993,61.6805,420
03m 10s,225.8 m,2 m,297°,11.30 m/s,13-18-Cm,7.1993,61.6805,420
03m 15s,235.0 m,2 m,302°,9.93 m/s,13-18-Cm,7.1993,61.6805,420
03m 35s,271.9 m,2 m,301°,7.35 m/s,13-18-Cm,7.1993,61.6805,420
03m 40s,281.4 m,2 m,299°,7.14 m/s,13-18-Cm,7.1993,61.6805,420
03m 45s,291.5 m,2 m,272°,4.39 m/s,13-18-Cm,7.1993,61.6805,420
03m 50s,301.5 m,2 m,292°,4.72 m/s,13-18-Cm,7.1993,61.6805,420
03m 55s,311.8 m,2 m,296°,4.84 m/s,13-18-Cm,7.1993,61.6805,420
04m 00s,321.9 m,2 m,294°,4.54 m/s,13-18-Cm,7.1993,61.6805,420
04m 05s,332.2 m,2 m,289°,5.11 m/s,13-18-Cm,7.1993,61.6805,420
04m 10s,342.5 m,1 m,296°,2.57 m/s,13-18-Cm,7.1993,61.6805,420
04m 15s,352.7 m,1 m,231°,0.77 m/s,13-18-Cm,7.1993,61.6805,420
04m 20s,363.0 m,1 m,238°,1.08 m/s,13-18-Cm,7.1993,61.6805,420
04m 25s,372.9 m,2 m,227°,1.06 m/s,13-18-Cm,7.1993,61.6805,420
04m 30s,384.3 m,2 m,272°,1.71 m/s,13-18-Cm,7.1993,61.6805,420
04m 35s,395.7 m,2 m,268°,1.69 m/s,13-18-Cm,7.1993,61.6805,420
04m 40s,406.1 m,2 m,273°,1.60 m/s,13-18-Cm,7.1993,61.6805,420
04m 45s,416.4 m,2 m,278°,0.95 m/s,13-18-Cm,7.1993,61.6805,420
04m 50s,425.7 m,2 m,289°,1.15 m/s,13-18-Cm,7.1993,61.6805,420
04m 55s,435.8 m,2 m,295°,0.90 m/s,13-18-Cm,7.1993,61.6805,420
05m 00s,445.5 m,2 m,256°,1.75 m/s,13-18-Cm,7.1993,61.6805,420
05m 05s,455.2 m,2 m,261°,1.58 m/s,13-18-Cm,7.1993,61.6805,420
05m 10s,464.7 m,1 m,261°,0.83 m/s,13-18-Cm,7.1993,61.6805,420
