Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
02m 20s,33.4 m,14 m,52°,6.13 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
02m 25s,39.3 m,19 m,59°,5.47 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
02m 30s,44.8 m,19 m,61°,6.72 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
02m 35s,50.5 m,18 m,60°,6.84 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
02m 40s,56.4 m,16 m,60°,6.61 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
02m 45s,62.3 m,15 m,64°,5.77 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
02m 50s,68.1 m,12 m,62°,6.85 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
02m 55s,73.9 m,11 m,65°,6.45 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
03m 00s,79.8 m,9 m,67°,7.13 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
03m 05s,85.5 m,9 m,67°,6.31 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
03m 10s,90.6 m,11 m,67°,6.64 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
03m 15s,95.2 m,11 m,67°,7.17 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
03m 20s,105.3 m,12 m,70°,7.05 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
03m 25s,115.8 m,11 m,67°,6.68 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
03m 30s,126.1 m,8 m,67°,6.10 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
03m 35s,136.7 m,4 m,67°,5.60 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
03m 50s,167.1 m,5 m,60°,7.24 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
03m 55s,177.2 m,6 m,71°,6.99 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
04m 00s,187.2 m,9 m,75°,6.91 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
04m 05s,196.9 m,11 m,80°,6.30 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
04m 10s,206.6 m,11 m,72°,5.72 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
04m 15s,216.5 m,12 m,67°,5.52 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
04m 25s,235.5 m,13 m,72°,5.53 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
04m 30s,244.6 m,13 m,79°,5.82 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
04m 35s,254.3 m,10 m,75°,6.20 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
04m 40s,264.1 m,8 m,66°,6.55 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
04m 45s,273.9 m,8 m,66°,6.66 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
04m 50s,283.8 m,12 m,51°,6.98 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
05m 00s,304.1 m,30 m,54°,8.50 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
05m 15s,336.3 m,58 m,51°,8.76 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
05m 30s,370.5 m,12 m,81°,6.81 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
05m 40s,390.4 m,22 m,122°,5.04 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
05m 45s,400.0 m,22 m,130°,5.26 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
05m 50s,409.6 m,22 m,108°,2.94 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
05m 55s,419.8 m,22 m,84°,3.64 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
06m 00s,429.7 m,22 m,70°,4.88 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
06m 45s,498.3 m,23 m,294°,7.36 m/s,12-15-Dm,7.19779468433117,61.686051540062,540
