Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 10s,3.2 m,1 m,294°,2.07 m/s,,,,420
01m 30s,70.3 m,211 m,289°,4.37 m/s,13-12-Cu,,,420
01m 45s,64.2 m,211 m,337°,2.95 m/s,13-12-Cu,,,420
01m 50s,67.6 m,211 m,317°,3.25 m/s,13-12-Cu,,,420
01m 55s,72.5 m,211 m,333°,3.75 m/s,13-12-Cu,,,420
02m 00s,77.8 m,211 m,331°,3.81 m/s,13-12-Cu,,,420
02m 05s,83.4 m,211 m,336°,3.90 m/s,13-12-Cu,,,420
02m 10s,88.9 m,211 m,318°,4.99 m/s,13-12-Cu,,,420
02m 15s,95.3 m,211 m,332°,6.36 m/s,13-12-Cu,,,420
02m 20s,103.0 m,211 m,318°,7.55 m/s,13-12-Cu,,,420
02m 25s,111.1 m,211 m,322°,7.51 m/s,13-12-Cu,,,420
02m 30s,119.1 m,211 m,316°,7.62 m/s,13-12-Cu,,,420
02m 35s,126.9 m,211 m,317°,7.74 m/s,13-12-Cu,,,420
02m 45s,142.2 m,211 m,321°,7.32 m/s,13-12-Cu,,,420
02m 50s,151.2 m,211 m,324°,6.15 m/s,13-12-Cu,,,420
03m 00s,168.2 m,211 m,321°,3.14 m/s,13-12-Cu,,,420
03m 05s,175.1 m,211 m,292°,6.60 m/s,13-12-Cu,,,420
03m 10s,181.5 m,211 m,290°,7.24 m/s,13-12-Cu,,,420
03m 15s,187.2 m,211 m,305°,6.42 m/s,13-12-Cu,,,420
03m 20s,193.0 m,211 m,305°,7.27 m/s,13-12-Cu,,,420
03m 25s,199.1 m,211 m,303°,7.40 m/s,13-12-Cu,,,420
03m 40s,199.7 m,135 m,275°,7.56 m/s,,,,420
03m 45s,199.7 m,85 m,276°,7.14 m/s,,,,420
03m 50s,199.7 m,35 m,279°,6.96 m/s,,,,420
04m 00s,199.8 m,0 m,289°,6.09 m/s,,,,420
