Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 20s,12.9 m,7 m,315°,6.15 m/s,13-12-Am,7.2423,61.6674,285
01m 10s,63.3 m,7 m,315°,4.96 m/s,13-12-Am,7.2423,61.6674,285
01m 40s,93.3 m,6 m,318°,5.47 m/s,13-12-Am,7.2423,61.6674,285
01m 45s,97.9 m,6 m,320°,5.37 m/s,13-12-Am,7.2423,61.6674,285
02m 30s,185.6 m,6 m,325°,4.31 m/s,13-12-Am,7.2423,61.6674,285
03m 05s,256.1 m,6 m,320°,2.60 m/s,13-12-Am,7.2423,61.6674,285
03m 15s,276.1 m,6 m,318°,3.04 m/s,13-12-Am,7.2423,61.6674,285
03m 25s,296.2 m,6 m,326°,2.87 m/s,13-12-Am,7.2423,61.6674,285
03m 35s,316.2 m,6 m,322°,3.27 m/s,13-12-Am,7.2423,61.6674,285
03m 40s,326.3 m,6 m,315°,3.79 m/s,13-12-Am,7.2423,61.6674,285
03m 45s,336.3 m,6 m,310°,4.07 m/s,13-12-Am,7.2423,61.6674,285
04m 55s,477.2 m,7 m,305°,3.49 m/s,13-12-Am,7.2423,61.6674,285
05m 05s,495.7 m,7 m,311°,3.48 m/s,13-12-Am,7.2423,61.6674,285
10m 20s,3.0 m,5 m,292°,5.37 m/s,,,,
10m 35s,2.0 m,4 m,290°,4.15 m/s,,,,
