Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
11m 15s,293.1 m,559 m,77°,4.33 m/s,,,,540
11m 20s,323.2 m,630 m,77°,4.55 m/s,,,,540
11m 25s,352.8 m,702 m,90°,3.84 m/s,,,,540
12m 10s,499.4 m,842 m,151°,5.11 m/s,,,,540
12m 20s,500.0 m,823 m,155°,2.03 m/s,,,,540
15m 20s,169.3 m,824 m,262°,2.41 m/s,14-15-Em,7.1871801,61.6911898,540
15m 25s,169.2 m,824 m,247°,2.45 m/s,14-15-Em,7.1871801,61.6911898,540
15m 30s,169.2 m,824 m,257°,2.64 m/s,14-15-Em,7.1871801,61.6911898,540
15m 55s,304.6 m,664 m,211°,2.46 m/s,,,,540
16m 05s,364.0 m,547 m,197°,1.82 m/s,,,,540
16m 10s,394.8 m,485 m,226°,3.53 m/s,,,,540
16m 15s,424.1 m,422 m,198°,3.83 m/s,,,,540
16m 55s,497.7 m,159 m,142°,2.36 m/s,,,,540
21m 10s,2.2 m,121 m,346°,3.12 m/s,,,,540
22m 55s,1.4 m,2 m,347°,2.83 m/s,,,,540
23m 00s,1.3 m,2 m,343°,3.35 m/s,,,,540
23m 05s,1.3 m,3 m,336°,3.51 m/s,,,,540
23m 10s,1.3 m,3 m,327°,3.78 m/s,,,,540
23m 15s,1.3 m,3 m,333°,3.68 m/s,,,,540
23m 20s,1.2 m,3 m,331°,3.77 m/s,,,,540
23m 25s,1.2 m,3 m,321°,3.83 m/s,,,,540
23m 30s,1.3 m,3 m,311°,3.95 m/s,,,,540
23m 35s,1.3 m,3 m,313°,3.65 m/s,,,,540
