Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 35s,93.0 m,279 m,112°,1.87 m/s,,,,420
00m 45s,110.5 m,417 m,67°,2.26 m/s,,,,420
01m 35s,131.9 m,607 m,251°,1.76 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
01m 45s,135.0 m,605 m,263°,0.69 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
01m 50s,143.3 m,606 m,174°,1.19 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
01m 55s,150.3 m,606 m,199°,2.37 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 00s,156.3 m,606 m,202°,2.96 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 05s,162.2 m,605 m,218°,2.82 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 10s,167.7 m,605 m,219°,3.19 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 15s,173.1 m,605 m,220°,3.52 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 20s,178.6 m,605 m,220°,3.24 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 25s,184.1 m,605 m,232°,3.20 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 30s,189.8 m,605 m,247°,2.91 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 35s,195.7 m,606 m,237°,3.07 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 40s,201.6 m,606 m,223°,3.53 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 45s,207.4 m,605 m,255°,3.02 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 50s,213.1 m,604 m,222°,2.84 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
02m 55s,218.6 m,604 m,252°,2.67 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
03m 00s,223.9 m,604 m,217°,3.09 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
03m 05s,229.2 m,603 m,259°,2.17 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
03m 10s,234.6 m,604 m,220°,2.98 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
03m 15s,240.2 m,603 m,238°,1.14 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
03m 25s,254.6 m,603 m,211°,2.79 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
03m 30s,265.4 m,601 m,208°,2.02 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
03m 35s,276.0 m,599 m,203°,1.58 m/s,14-07-Dm,7.19779468433117,61.686051540062,420
