Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
10m 10s,3.4 m,4 m,2°,2.26 m/s,,,,295
10m 20s,3.9 m,6 m,0°,1.67 m/s,,,,295
10m 25s,3.9 m,6 m,348°,1.49 m/s,,,,295
10m 30s,3.9 m,5 m,349°,1.60 m/s,,,,295
10m 35s,3.9 m,5 m,0°,1.60 m/s,,,,295
10m 40s,3.9 m,4 m,351°,1.31 m/s,,,,295
10m 45s,3.9 m,4 m,359°,1.51 m/s,,,,295
10m 50s,3.9 m,5 m,338°,1.17 m/s,,,,295
11m 30s,4.9 m,67 m,325°,1.09 m/s,,,,295
11m 50s,-4.0 m,78 m,318°,0.60 m/s,14-07-Bs,,,295
11m 55s,-1.6 m,78 m,315°,0.47 m/s,14-07-Bs,,,295
12m 05s,10.4 m,78 m,270°,0.51 m/s,14-07-Bs,,,295
12m 10s,16.3 m,78 m,278°,0.77 m/s,14-07-Bs,,,295
12m 15s,21.8 m,78 m,277°,0.90 m/s,14-07-Bs,,,295
12m 20s,27.4 m,78 m,252°,0.81 m/s,14-07-Bs,,,295
12m 25s,33.2 m,78 m,251°,0.74 m/s,14-07-Bs,,,295
12m 30s,38.6 m,78 m,228°,1.40 m/s,14-07-Bs,,,295
12m 35s,44.0 m,78 m,227°,1.27 m/s,14-07-Bs,,,295
12m 40s,49.6 m,79 m,223°,1.29 m/s,14-07-Bs,,,295
12m 45s,55.0 m,79 m,210°,1.18 m/s,14-07-Bs,,,295
12m 50s,60.1 m,79 m,213°,1.17 m/s,14-07-Bs,,,295
12m 55s,65.5 m,79 m,209°,1.39 m/s,14-07-Bs,,,295
13m 00s,70.7 m,79 m,206°,1.18 m/s,14-07-Bs,,,295
13m 05s,76.2 m,79 m,239°,1.15 m/s,14-07-Bs,,,295
13m 10s,81.7 m,79 m,249°,1.32 m/s,14-07-Bs,,,295
13m 15s,87.2 m,79 m,249°,1.28 m/s,14-07-Bs,,,295
13m 20s,92.6 m,79 m,255°,1.35 m/s,14-07-Bs,,,295
13m 25s,98.1 m,79 m,258°,1.36 m/s,14-07-Bs,,,295
13m 30s,105.0 m,78 m,254°,1.41 m/s,14-07-Bs,,,295
13m 35s,114.7 m,78 m,250°,1.30 m/s,14-07-Bs,,,295
13m 40s,126.2 m,78 m,235°,1.24 m/s,14-07-Bs,,,295
13m 45s,137.5 m,78 m,241°,0.86 m/s,14-07-Bs,,,295
13m 50s,148.6 m,78 m,241°,0.93 m/s,14-07-Bs,,,295
13m 55s,159.7 m,78 m,241°,1.14 m/s,14-07-Bs,,,295
14m 00s,171.0 m,78 m,249°,1.25 m/s,14-07-Bs,,,295
14m 05s,182.2 m,78 m,250°,1.23 m/s,14-07-Bs,,,295
14m 10s,193.3 m,78 m,236°,1.12 m/s,14-07-Bs,,,295
14m 15s,202.2 m,78 m,228°,1.17 m/s,14-07-Bs,,,295
14m 35s,202.4 m,0 m,275°,0.59 m/s,,,,295
16m 00s,1.7 m,2 m,230°,1.53 m/s,,,,295
