Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 15s,6.2 m,1 m,315°,3.82 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
00m 20s,11.6 m,0 m,318°,4.06 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
00m 25s,17.5 m,1 m,330°,4.10 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
00m 30s,23.5 m,1 m,336°,3.97 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
00m 35s,29.4 m,2 m,339°,4.12 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
00m 40s,35.1 m,2 m,341°,4.32 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
00m 45s,40.9 m,2 m,334°,4.16 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
00m 50s,46.4 m,3 m,317°,3.35 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
00m 55s,52.0 m,4 m,314°,3.82 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 00s,57.4 m,5 m,327°,3.65 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 05s,62.9 m,6 m,299°,5.08 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 10s,68.6 m,4 m,312°,3.74 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 15s,74.8 m,4 m,336°,5.08 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 20s,80.3 m,6 m,321°,4.31 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 25s,86.3 m,7 m,309°,4.47 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 30s,92.8 m,7 m,295°,4.32 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 35s,99.6 m,8 m,321°,4.61 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 40s,110.4 m,8 m,311°,4.50 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 45s,121.1 m,7 m,313°,2.75 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 50s,130.6 m,8 m,334°,4.58 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
01m 55s,139.9 m,10 m,317°,3.98 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
02m 05s,162.4 m,12 m,303°,4.69 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
02m 10s,173.4 m,15 m,310°,4.07 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
02m 15s,184.1 m,16 m,319°,5.27 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
02m 30s,213.7 m,17 m,315°,6.18 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
02m 45s,244.6 m,20 m,311°,3.90 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
02m 50s,255.7 m,25 m,339°,4.79 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
02m 55s,266.6 m,29 m,320°,4.71 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
03m 10s,301.1 m,26 m,328°,5.57 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
03m 15s,312.2 m,28 m,343°,4.61 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
03m 20s,322.3 m,26 m,5°,5.09 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
03m 25s,331.4 m,21 m,335°,3.87 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
03m 30s,341.0 m,20 m,315°,3.30 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
03m 35s,351.7 m,22 m,344°,4.04 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
03m 55s,391.7 m,24 m,317°,3.88 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 00s,402.4 m,24 m,313°,3.18 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 05s,412.4 m,24 m,322°,2.61 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 10s,423.0 m,24 m,331°,2.75 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 15s,433.3 m,24 m,317°,2.78 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 20s,443.4 m,24 m,328°,1.81 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 25s,453.4 m,24 m,341°,1.06 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 30s,463.2 m,24 m,359°,0.69 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 35s,472.2 m,24 m,131°,0.73 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 40s,481.8 m,23 m,122°,1.14 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 45s,491.4 m,23 m,80°,1.13 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 50s,499.4 m,23 m,38°,1.13 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
04m 55s,499.7 m,23 m,6°,1.34 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
05m 00s,498.8 m,23 m,346°,0.95 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
05m 05s,498.7 m,23 m,336°,1.74 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
05m 10s,498.8 m,23 m,328°,1.56 m/s,12-18-Dm,7.19779468433117,61.686051540062,540
