Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
09m 40s,41.0 m,112 m,358°,3.90 m/s,,,,420
09m 55s,83.0 m,223 m,347°,4.06 m/s,,,,420
11m 05s,29.7 m,227 m,355°,6.28 m/s,14-07-Cu,,,420
11m 10s,31.5 m,227 m,354°,6.07 m/s,14-07-Cu,,,420
11m 15s,35.6 m,227 m,354°,5.71 m/s,14-07-Cu,,,420
11m 20s,41.4 m,227 m,356°,5.09 m/s,14-07-Cu,,,420
11m 25s,47.7 m,227 m,351°,4.93 m/s,14-07-Cu,,,420
11m 30s,54.1 m,227 m,352°,4.91 m/s,14-07-Cu,,,420
11m 35s,60.7 m,227 m,353°,4.89 m/s,14-07-Cu,,,420
11m 40s,67.3 m,227 m,351°,5.11 m/s,14-07-Cu,,,420
11m 45s,73.8 m,228 m,352°,4.99 m/s,14-07-Cu,,,420
11m 50s,79.8 m,227 m,351°,4.86 m/s,14-07-Cu,,,420
11m 55s,85.4 m,227 m,351°,4.90 m/s,14-07-Cu,,,420
12m 00s,91.5 m,227 m,349°,4.95 m/s,14-07-Cu,,,420
12m 05s,98.3 m,227 m,351°,4.75 m/s,14-07-Cu,,,420
12m 10s,104.7 m,227 m,351°,4.71 m/s,14-07-Cu,,,420
12m 15s,111.6 m,227 m,352°,4.73 m/s,14-07-Cu,,,420
12m 20s,118.7 m,227 m,353°,4.55 m/s,14-07-Cu,,,420
12m 25s,125.6 m,227 m,352°,4.42 m/s,14-07-Cu,,,420
12m 30s,135.8 m,227 m,350°,3.96 m/s,14-07-Cu,,,420
12m 35s,147.5 m,227 m,350°,3.91 m/s,14-07-Cu,,,420
12m 40s,157.2 m,227 m,352°,3.94 m/s,14-07-Cu,,,420
12m 45s,167.8 m,227 m,350°,3.66 m/s,14-07-Cu,,,420
12m 50s,178.2 m,227 m,346°,3.46 m/s,14-07-Cu,,,420
12m 55s,188.9 m,227 m,349°,3.47 m/s,14-07-Cu,,,420
13m 00s,199.8 m,227 m,349°,3.58 m/s,14-07-Cu,,,420
13m 05s,210.7 m,227 m,349°,3.74 m/s,14-07-Cu,,,420
13m 10s,221.8 m,227 m,351°,4.03 m/s,14-07-Cu,,,420
13m 15s,233.1 m,227 m,354°,3.97 m/s,14-07-Cu,,,420
13m 20s,244.2 m,227 m,354°,3.99 m/s,14-07-Cu,,,420
13m 25s,255.8 m,227 m,356°,3.89 m/s,14-07-Cu,,,420
13m 30s,267.3 m,227 m,359°,3.90 m/s,14-07-Cu,,,420
13m 35s,278.6 m,227 m,0°,3.77 m/s,14-07-Cu,,,420
13m 40s,287.9 m,227 m,357°,3.73 m/s,14-07-Cu,,,420
13m 45s,299.2 m,227 m,357°,3.80 m/s,14-07-Cu,,,420
13m 50s,311.0 m,227 m,354°,3.75 m/s,14-07-Cu,,,420
13m 55s,323.2 m,227 m,351°,3.73 m/s,14-07-Cu,,,420
14m 00s,335.5 m,227 m,350°,3.73 m/s,14-07-Cu,,,420
14m 05s,346.8 m,227 m,350°,3.65 m/s,14-07-Cu,,,420
14m 10s,357.8 m,227 m,348°,3.74 m/s,14-07-Cu,,,420
14m 15s,369.0 m,227 m,345°,3.85 m/s,14-07-Cu,,,420
14m 20s,380.8 m,227 m,346°,3.96 m/s,14-07-Cu,,,420
14m 25s,392.4 m,227 m,348°,4.01 m/s,14-07-Cu,,,420
14m 30s,403.4 m,227 m,349°,4.03 m/s,14-07-Cu,,,420
14m 35s,414.4 m,227 m,352°,4.07 m/s,14-07-Cu,,,420
14m 40s,425.7 m,227 m,352°,4.05 m/s,14-07-Cu,,,420
14m 45s,437.6 m,227 m,350°,3.88 m/s,14-07-Cu,,,420
14m 50s,449.5 m,227 m,343°,3.84 m/s,14-07-Cu,,,420
14m 55s,461.5 m,227 m,343°,3.66 m/s,14-07-Cu,,,420
15m 00s,473.4 m,227 m,338°,3.65 m/s,14-07-Cu,,,420
15m 05s,485.0 m,227 m,348°,3.83 m/s,14-07-Cu,,,420
15m 10s,495.7 m,227 m,349°,4.12 m/s,14-07-Cu,,,420
15m 25s,500.0 m,152 m,96°,2.72 m/s,,,,420
15m 30s,499.9 m,102 m,84°,3.22 m/s,,,,420
15m 35s,499.9 m,53 m,80°,3.74 m/s,,,,420
