Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 20s,12.6 m,4 m,4°,1.98 m/s,13-09-Am,7.2423,61.6674,285
00m 40s,32.8 m,3 m,337°,2.18 m/s,13-09-Am,7.2423,61.6674,285
00m 45s,37.7 m,3 m,335°,2.18 m/s,13-09-Am,7.2423,61.6674,285
01m 20s,73.2 m,3 m,329°,1.77 m/s,13-09-Am,7.2423,61.6674,285
01m 25s,78.2 m,3 m,330°,1.75 m/s,13-09-Am,7.2423,61.6674,285
01m 35s,88.3 m,3 m,330°,1.52 m/s,13-09-Am,7.2423,61.6674,285
01m 40s,93.1 m,3 m,325°,1.57 m/s,13-09-Am,7.2423,61.6674,285
01m 45s,97.6 m,3 m,324°,1.68 m/s,13-09-Am,7.2423,61.6674,285
01m 55s,114.9 m,3 m,322°,1.36 m/s,13-09-Am,7.2423,61.6674,285
02m 00s,125.0 m,3 m,306°,1.25 m/s,13-09-Am,7.2423,61.6674,285
02m 20s,165.1 m,3 m,277°,1.15 m/s,13-09-Am,7.2423,61.6674,285
02m 30s,185.2 m,3 m,270°,1.42 m/s,13-09-Am,7.2423,61.6674,285
02m 40s,205.3 m,3 m,275°,1.47 m/s,13-09-Am,7.2423,61.6674,285
02m 45s,215.3 m,3 m,268°,1.47 m/s,13-09-Am,7.2423,61.6674,285
02m 50s,225.4 m,3 m,267°,1.34 m/s,13-09-Am,7.2423,61.6674,285
02m 55s,235.5 m,3 m,268°,1.16 m/s,13-09-Am,7.2423,61.6674,285
03m 00s,245.7 m,2 m,273°,1.13 m/s,13-09-Am,7.2423,61.6674,285
03m 05s,255.8 m,2 m,295°,0.92 m/s,13-09-Am,7.2423,61.6674,285
03m 10s,265.8 m,2 m,302°,0.90 m/s,13-09-Am,7.2423,61.6674,285
03m 15s,275.5 m,2 m,315°,0.76 m/s,13-09-Am,7.2423,61.6674,285
03m 20s,285.9 m,2 m,328°,0.44 m/s,13-09-Am,7.2423,61.6674,285
03m 25s,295.7 m,2 m,359°,0.41 m/s,13-09-Am,7.2423,61.6674,285
03m 30s,305.8 m,2 m,321°,0.43 m/s,13-09-Am,7.2423,61.6674,285
03m 35s,315.8 m,2 m,326°,0.30 m/s,13-09-Am,7.2423,61.6674,285
04m 05s,376.1 m,2 m,301°,1.16 m/s,13-09-Am,7.2423,61.6674,285
04m 10s,386.2 m,2 m,282°,0.65 m/s,13-09-Am,7.2423,61.6674,285
04m 15s,396.2 m,2 m,199°,0.84 m/s,13-09-Am,7.2423,61.6674,285
04m 20s,406.3 m,2 m,199°,1.16 m/s,13-09-Am,7.2423,61.6674,285
04m 25s,416.5 m,1 m,213°,0.78 m/s,13-09-Am,7.2423,61.6674,285
04m 40s,446.5 m,1 m,2°,0.55 m/s,13-09-Am,7.2423,61.6674,285
04m 45s,456.4 m,1 m,8°,0.91 m/s,13-09-Am,7.2423,61.6674,285
04m 50s,466.6 m,1 m,11°,1.02 m/s,13-09-Am,7.2423,61.6674,285
10m 20s,2.0 m,3 m,320°,0.93 m/s,,,,
