Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
13m 05s,137.9 m,127 m,287°,9.04 m/s,,,,540
13m 10s,166.9 m,168 m,292°,8.46 m/s,,,,540
13m 15s,197.4 m,217 m,296°,6.51 m/s,,,,540
13m 25s,256.2 m,302 m,287°,5.87 m/s,,,,540
13m 35s,316.7 m,389 m,318°,4.26 m/s,,,,540
13m 40s,346.9 m,437 m,302°,2.79 m/s,,,,540
13m 45s,377.1 m,482 m,294°,1.19 m/s,,,,540
13m 50s,406.7 m,529 m,303°,3.12 m/s,,,,540
14m 25s,499.9 m,810 m,274°,3.05 m/s,,,,540
17m 35s,156.4 m,809 m,265°,6.11 m/s,,,,540
17m 40s,176.0 m,810 m,266°,6.36 m/s,,,,540
17m 45s,196.8 m,810 m,272°,9.02 m/s,,,,540
18m 05s,196.1 m,675 m,274°,5.39 m/s,,,,540
18m 10s,195.9 m,602 m,287°,7.63 m/s,,,,540
18m 20s,195.5 m,471 m,283°,6.96 m/s,,,,540
18m 25s,195.7 m,399 m,284°,5.05 m/s,,,,540
18m 30s,195.7 m,329 m,280°,4.14 m/s,,,,540
18m 50s,196.5 m,230 m,349°,3.91 m/s,,,,540
21m 30s,25.2 m,230 m,242°,3.27 m/s,,,,540
21m 40s,62.6 m,230 m,233°,3.28 m/s,,,,540
23m 50s,-7.8 m,101 m,21°,3.33 m/s,13-15-Ds,,,540
23m 55s,-8.9 m,101 m,19°,2.84 m/s,13-15-Ds,,,540
24m 00s,-8.0 m,101 m,21°,3.19 m/s,13-15-Ds,,,540
24m 05s,-4.8 m,101 m,26°,4.97 m/s,13-15-Ds,,,540
24m 10s,-1.7 m,101 m,24°,6.28 m/s,13-15-Ds,,,540
24m 20s,3.3 m,101 m,24°,6.36 m/s,13-15-Ds,,,540
24m 25s,5.5 m,101 m,22°,6.15 m/s,13-15-Ds,,,540
24m 30s,7.8 m,101 m,12°,6.35 m/s,13-15-Ds,,,540
24m 35s,10.1 m,101 m,1°,5.82 m/s,13-15-Ds,,,540
24m 40s,12.1 m,101 m,5°,3.70 m/s,13-15-Ds,,,540
24m 45s,15.3 m,102 m,10°,5.39 m/s,13-15-Ds,,,540
24m 50s,20.1 m,101 m,3°,5.77 m/s,13-15-Ds,,,540
25m 00s,29.1 m,106 m,7°,4.91 m/s,13-15-Ds,,,540
25m 05s,33.7 m,106 m,335°,4.97 m/s,13-15-Ds,,,540
25m 10s,38.6 m,106 m,329°,6.44 m/s,13-15-Ds,,,540
25m 15s,42.6 m,106 m,329°,6.39 m/s,13-15-Ds,,,540
25m 20s,46.0 m,107 m,301°,6.70 m/s,13-15-Ds,,,540
25m 25s,50.1 m,107 m,310°,6.31 m/s,13-15-Ds,,,540
25m 30s,54.0 m,107 m,354°,6.50 m/s,13-15-Ds,,,540
25m 35s,58.7 m,107 m,5°,5.90 m/s,13-15-Ds,,,540
25m 40s,64.1 m,106 m,4°,5.78 m/s,13-15-Ds,,,540
25m 45s,69.8 m,106 m,9°,5.67 m/s,13-15-Ds,,,540
25m 50s,75.7 m,105 m,9°,6.05 m/s,13-15-Ds,,,540
25m 55s,81.2 m,104 m,355°,5.30 m/s,13-15-Ds,,,540
26m 00s,87.0 m,104 m,324°,8.20 m/s,13-15-Ds,,,540
26m 05s,92.2 m,104 m,317°,8.49 m/s,13-15-Ds,,,540
26m 10s,97.1 m,104 m,314°,8.97 m/s,13-15-Ds,,,540
26m 20s,108.3 m,105 m,314°,9.05 m/s,13-15-Ds,,,540
26m 25s,114.2 m,105 m,319°,8.74 m/s,13-15-Ds,,,540
26m 30s,125.1 m,105 m,314°,9.58 m/s,13-15-Ds,,,540
26m 35s,136.2 m,105 m,313°,9.33 m/s,13-15-Ds,,,540
26m 40s,147.1 m,105 m,316°,9.14 m/s,13-15-Ds,,,540
26m 45s,157.4 m,105 m,317°,8.77 m/s,13-15-Ds,,,540
