Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
10m 50s,287.5 m,208 m,279°,7.45 m/s,na,,,540
10m 55s,317.3 m,243 m,286°,6.83 m/s,na,,,540
11m 00s,347.4 m,275 m,297°,6.76 m/s,na,,,540
11m 05s,377.4 m,309 m,297°,7.60 m/s,na,,,540
11m 10s,407.5 m,346 m,297°,8.16 m/s,na,,,540
11m 15s,437.0 m,385 m,303°,7.49 m/s,na,,,540
11m 50s,500.1 m,713 m,321°,4.35 m/s,na,,,540
15m 35s,188.2 m,649 m,334°,7.28 m/s,na,,,540
15m 50s,187.8 m,433 m,286°,7.95 m/s,na,,,540
15m 55s,187.8 m,376 m,292°,9.23 m/s,na,,,540
16m 00s,187.9 m,325 m,308°,7.15 m/s,na,,,540
16m 05s,188.0 m,277 m,315°,6.91 m/s,na,,,540
16m 10s,191.9 m,234 m,316°,7.71 m/s,na,,,540
16m 20s,253.1 m,203 m,311°,7.83 m/s,na,,,540
20m 30s,165.6 m,239 m,304°,6.27 m/s,na,,,540
20m 35s,194.2 m,204 m,297°,8.10 m/s,na,,,540
20m 50s,285.0 m,164 m,329°,8.10 m/s,na,,,540
