Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 25s,5.8 m,52 m,264°,0.68 m/s,na,7.2423,61.6674,285
00m 30s,5.8 m,52 m,213°,1.08 m/s,na,7.2423,61.6674,285
00m 45s,5.8 m,58 m,282°,0.28 m/s,,,,
00m 50s,5.8 m,57 m,293°,0.42 m/s,,,,
00m 55s,5.8 m,57 m,291°,0.47 m/s,,,,
01m 00s,5.8 m,57 m,278°,0.48 m/s,,,,
01m 05s,5.8 m,57 m,264°,0.61 m/s,,,,
01m 10s,6.0 m,58 m,225°,1.58 m/s,,,,
01m 15s,6.1 m,60 m,238°,1.10 m/s,,,,
01m 20s,6.1 m,60 m,224°,2.12 m/s,,,,
01m 30s,6.2 m,63 m,223°,1.35 m/s,,,,
01m 35s,6.6 m,63 m,221°,1.47 m/s,,,,
01m 40s,7.1 m,63 m,233°,1.15 m/s,,,,
01m 45s,7.1 m,63 m,235°,1.39 m/s,,,,
01m 50s,7.1 m,63 m,236°,1.48 m/s,,,,
01m 55s,7.1 m,63 m,236°,1.62 m/s,,,,
02m 15s,6.0 m,67 m,290°,4.10 m/s,14-12-Am,7.2423,61.6674,285
02m 20s,6.4 m,67 m,288°,4.23 m/s,14-12-Am,7.2423,61.6674,285
02m 35s,21.1 m,67 m,285°,3.84 m/s,14-12-Am,7.2423,61.6674,285
02m 50s,36.3 m,67 m,281°,3.45 m/s,14-12-Am,7.2423,61.6674,285
02m 55s,41.3 m,67 m,282°,3.47 m/s,14-12-Am,7.2423,61.6674,285
03m 00s,46.3 m,67 m,281°,3.33 m/s,14-12-Am,7.2423,61.6674,285
03m 10s,56.4 m,67 m,276°,2.95 m/s,14-12-Am,7.2423,61.6674,285
03m 15s,61.3 m,67 m,276°,2.82 m/s,14-12-Am,7.2423,61.6674,285
03m 25s,71.5 m,68 m,277°,2.55 m/s,14-12-Am,7.2423,61.6674,285
03m 30s,76.5 m,68 m,279°,2.59 m/s,14-12-Am,7.2423,61.6674,285
03m 40s,86.7 m,68 m,287°,2.67 m/s,14-12-Am,7.2423,61.6674,285
03m 50s,96.1 m,68 m,288°,2.45 m/s,14-12-Am,7.2423,61.6674,285
03m 55s,101.2 m,68 m,288°,2.54 m/s,14-12-Am,7.2423,61.6674,285
04m 10s,131.9 m,68 m,297°,2.65 m/s,14-12-Am,7.2423,61.6674,285
04m 15s,142.0 m,68 m,292°,2.43 m/s,14-12-Am,7.2423,61.6674,285
04m 35s,182.2 m,67 m,304°,2.43 m/s,14-12-Am,7.2423,61.6674,285
04m 40s,192.2 m,67 m,303°,2.47 m/s,14-12-Am,7.2423,61.6674,285
04m 50s,212.3 m,67 m,294°,2.29 m/s,14-12-Am,7.2423,61.6674,285
05m 05s,242.5 m,67 m,286°,1.83 m/s,14-12-Am,7.2423,61.6674,285
05m 15s,262.5 m,67 m,284°,1.39 m/s,14-12-Am,7.2423,61.6674,285
05m 20s,272.6 m,67 m,281°,1.44 m/s,14-12-Am,7.2423,61.6674,285
05m 25s,282.6 m,67 m,274°,1.74 m/s,14-12-Am,7.2423,61.6674,285
05m 30s,292.7 m,67 m,271°,1.93 m/s,14-12-Am,7.2423,61.6674,285
05m 40s,312.7 m,67 m,266°,1.83 m/s,14-12-Am,7.2423,61.6674,285
05m 45s,322.8 m,67 m,262°,1.36 m/s,14-12-Am,7.2423,61.6674,285
05m 50s,332.8 m,66 m,259°,1.28 m/s,14-12-Am,7.2423,61.6674,285
05m 55s,342.9 m,66 m,262°,1.22 m/s,14-12-Am,7.2423,61.6674,285
06m 10s,373.1 m,66 m,261°,0.73 m/s,14-12-Am,7.2423,61.6674,285
06m 15s,383.2 m,66 m,261°,0.76 m/s,14-12-Am,7.2423,61.6674,285
06m 20s,393.2 m,66 m,255°,0.61 m/s,14-12-Am,7.2423,61.6674,285
06m 25s,403.2 m,66 m,227°,0.59 m/s,14-12-Am,7.2423,61.6674,285
06m 30s,413.3 m,66 m,201°,0.53 m/s,14-12-Am,7.2423,61.6674,285
06m 55s,463.6 m,66 m,156°,0.71 m/s,14-12-Am,7.2423,61.6674,285
