Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
12m 10s,16.1 m,79 m,324°,2.30 m/s,13-07-Cs?,,,420
12m 25s,14.0 m,81 m,326°,2.54 m/s,,,,420
12m 30s,13.9 m,80 m,325°,2.77 m/s,,,,420
12m 35s,11.4 m,80 m,325°,2.57 m/s,,,,420
12m 50s,4.9 m,80 m,332°,1.68 m/s,,,,420
12m 55s,4.1 m,80 m,340°,1.39 m/s,,,,420
13m 00s,4.2 m,80 m,338°,1.64 m/s,,,,420
13m 05s,8.6 m,80 m,342°,1.90 m/s,,,,420
13m 10s,14.3 m,80 m,332°,3.28 m/s,,,,420
13m 15s,19.7 m,81 m,326°,3.06 m/s,,,,420
13m 20s,25.2 m,81 m,331°,2.26 m/s,,,,420
13m 25s,30.9 m,81 m,324°,2.13 m/s,,,,420
13m 30s,36.0 m,81 m,325°,1.87 m/s,,,,420
13m 35s,41.6 m,81 m,324°,1.07 m/s,,,,420
13m 40s,47.0 m,81 m,358°,0.97 m/s,,,,420
13m 45s,52.1 m,81 m,4°,1.33 m/s,,,,420
13m 50s,54.9 m,81 m,11°,1.38 m/s,,,,420
13m 55s,58.2 m,81 m,16°,1.29 m/s,,,,420
14m 00s,63.2 m,81 m,13°,1.00 m/s,,,,420
14m 05s,68.4 m,81 m,60°,0.64 m/s,,,,420
14m 10s,73.4 m,81 m,94°,0.61 m/s,,,,420
14m 15s,77.6 m,81 m,110°,0.55 m/s,,,,420
14m 20s,82.2 m,80 m,104°,0.52 m/s,,,,420
14m 25s,86.8 m,80 m,92°,0.62 m/s,,,,420
14m 30s,91.2 m,80 m,89°,0.63 m/s,,,,420
14m 35s,95.6 m,80 m,114°,0.49 m/s,,,,420
14m 40s,99.9 m,80 m,141°,0.14 m/s,,,,420
14m 45s,104.5 m,80 m,100°,0.61 m/s,,,,420
14m 50s,109.4 m,80 m,98°,0.57 m/s,,,,420
14m 55s,114.6 m,80 m,83°,0.49 m/s,,,,420
15m 00s,119.0 m,81 m,89°,0.95 m/s,,,,420
15m 05s,119.1 m,81 m,91°,0.87 m/s,,,,420
