Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
11m 30s,54.8 m,215 m,358°,4.66 m/s,,,,420
11m 50s,48.9 m,235 m,356°,2.69 m/s,14-12-Cu,,,420
11m 55s,52.9 m,235 m,354°,2.68 m/s,14-12-Cu,,,
12m 00s,57.8 m,235 m,357°,2.67 m/s,14-12-Cu,,,
12m 05s,63.6 m,235 m,2°,2.48 m/s,14-12-Cu,,,
12m 10s,68.8 m,235 m,0°,2.53 m/s,14-12-Cu,,,
12m 15s,74.4 m,235 m,8°,2.40 m/s,14-12-Cu,,,
12m 20s,79.5 m,235 m,6°,2.23 m/s,14-12-Cu,,,
12m 25s,84.5 m,235 m,5°,2.29 m/s,14-12-Cu,,,
12m 30s,89.9 m,235 m,4°,2.25 m/s,14-12-Cu,,,
12m 35s,95.1 m,235 m,2°,2.22 m/s,14-12-Cu,,,
12m 40s,99.9 m,235 m,7°,2.18 m/s,14-12-Cu,,,
12m 45s,107.0 m,235 m,11°,2.41 m/s,14-12-Cu,,,
12m 50s,116.8 m,235 m,27°,1.52 m/s,14-12-Cu,,,
12m 55s,127.5 m,235 m,23°,1.35 m/s,14-12-Cu,,,
13m 00s,138.3 m,235 m,47°,1.10 m/s,14-12-Cu,,,
13m 05s,148.6 m,235 m,51°,1.04 m/s,14-12-Cu,,,
13m 10s,158.9 m,235 m,61°,1.14 m/s,14-12-Cu,,,
13m 15s,169.1 m,235 m,50°,1.13 m/s,14-12-Cu,,,
13m 20s,179.9 m,235 m,46°,1.17 m/s,14-12-Cu,,,
13m 25s,190.0 m,235 m,53°,1.06 m/s,14-12-Cu,,,
13m 30s,200.1 m,235 m,50°,1.07 m/s,14-12-Cu,,,
13m 35s,209.1 m,235 m,59°,1.25 m/s,14-12-Cu,,,
13m 40s,218.7 m,235 m,63°,1.25 m/s,14-12-Cu,,,
13m 45s,228.2 m,235 m,54°,1.17 m/s,14-12-Cu,,,
13m 50s,238.0 m,235 m,51°,1.14 m/s,14-12-Cu,,,
13m 55s,247.4 m,235 m,53°,1.21 m/s,14-12-Cu,,,
14m 00s,256.6 m,235 m,48°,1.23 m/s,14-12-Cu,,,
14m 05s,265.2 m,235 m,49°,1.42 m/s,14-12-Cu,,,
14m 10s,273.5 m,235 m,50°,1.45 m/s,14-12-Cu,,,
14m 15s,282.2 m,235 m,63°,1.42 m/s,14-12-Cu,,,
14m 20s,291.0 m,235 m,72°,1.49 m/s,14-12-Cu,,,
14m 25s,299.9 m,235 m,74°,1.49 m/s,14-12-Cu,,,
14m 30s,309.5 m,235 m,79°,1.53 m/s,14-12-Cu,,,
14m 35s,319.6 m,235 m,88°,1.43 m/s,14-12-Cu,,,
14m 40s,324.2 m,235 m,96°,1.71 m/s,14-12-Cu,,,
14m 45s,332.0 m,235 m,91°,1.59 m/s,14-12-Cu,,,
14m 50s,341.5 m,235 m,90°,1.41 m/s,14-12-Cu,,,
15m 10s,347.0 m,124 m,126°,1.03 m/s,,,,
15m 15s,346.9 m,74 m,115°,1.52 m/s,,,,
15m 20s,346.9 m,24 m,107°,1.16 m/s,,,,
15m 30s,347.0 m,2 m,92°,1.72 m/s,,,,
17m 45s,1.7 m,2 m,5°,5.84 m/s,,,,
