Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
11m 40s,14.5 m,59 m,3°,3.68 m/s,,,,420
12m 00s,44.4 m,217 m,25°,4.04 m/s,,,,420
12m 10s,51.0 m,245 m,2°,2.56 m/s,14-15-Cu,,,420
12m 15s,53.4 m,245 m,3°,2.19 m/s,14-15-Cu,,,420
12m 20s,54.6 m,245 m,353°,1.80 m/s,14-15-Cu,,,420
12m 25s,58.5 m,245 m,314°,1.59 m/s,14-15-Cu,,,420
12m 30s,63.6 m,245 m,312°,0.42 m/s,14-15-Cu,,,420
12m 35s,68.6 m,245 m,181°,0.28 m/s,14-15-Cu,,,420
12m 40s,72.1 m,245 m,104°,0.39 m/s,14-15-Cu,,,420
12m 45s,77.0 m,245 m,88°,0.72 m/s,14-15-Cu,,,420
12m 50s,84.2 m,245 m,89°,1.04 m/s,14-15-Cu,,,420
12m 55s,89.1 m,245 m,88°,0.83 m/s,14-15-Cu,,,420
13m 00s,93.6 m,245 m,88°,0.77 m/s,14-15-Cu,,,420
13m 05s,97.8 m,245 m,93°,1.16 m/s,14-15-Cu,,,420
13m 10s,103.1 m,245 m,82°,1.36 m/s,14-15-Cu,,,420
13m 15s,111.3 m,245 m,47°,1.01 m/s,14-15-Cu,,,420
13m 20s,120.8 m,245 m,51°,1.45 m/s,14-15-Cu,,,420
13m 25s,130.1 m,245 m,62°,1.54 m/s,14-15-Cu,,,420
13m 30s,138.8 m,245 m,53°,1.44 m/s,14-15-Cu,,,420
13m 35s,149.2 m,245 m,58°,1.54 m/s,14-15-Cu,,,420
13m 40s,158.5 m,246 m,28°,0.78 m/s,14-15-Cu,,,420
13m 45s,170.9 m,246 m,66°,0.95 m/s,14-15-Cu,,,420
13m 50s,179.6 m,246 m,95°,0.48 m/s,14-15-Cu,,,420
13m 55s,186.3 m,246 m,17°,0.19 m/s,14-15-Cu,,,420
14m 00s,194.0 m,246 m,307°,0.31 m/s,14-15-Cu,,,420
14m 15s,194.7 m,174 m,12°,0.72 m/s,,,,420
14m 20s,194.9 m,125 m,106°,6.64 m/s,,,,420
14m 40s,194.6 m,3 m,298°,0.32 m/s,,,,420
