Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 10s,4.1 m,5 m,300°,0.46 m/s,13-07-Am,7.2423,61.6674,285
01m 15s,69.8 m,5 m,145°,0.98 m/s,13-07-Am,7.2423,61.6674,285
01m 30s,84.8 m,4 m,132°,1.12 m/s,13-07-Am,7.2423,61.6674,285
01m 40s,94.5 m,4 m,152°,1.39 m/s,13-07-Am,7.2423,61.6674,285
01m 45s,99.0 m,4 m,148°,1.46 m/s,13-07-Am,7.2423,61.6674,285
02m 10s,148.3 m,4 m,144°,1.03 m/s,13-07-Am,7.2423,61.6674,285
02m 20s,168.3 m,4 m,120°,0.80 m/s,13-07-Am,7.2423,61.6674,285
02m 25s,178.3 m,4 m,114°,0.78 m/s,13-07-Am,7.2423,61.6674,285
02m 45s,218.6 m,4 m,87°,0.04 m/s,13-07-Am,7.2423,61.6674,285
02m 55s,238.7 m,4 m,157°,0.09 m/s,13-07-Am,7.2423,61.6674,285
03m 05s,258.9 m,4 m,346°,0.23 m/s,13-07-Am,7.2423,61.6674,285
03m 10s,268.8 m,4 m,353°,0.33 m/s,13-07-Am,7.2423,61.6674,285
03m 15s,278.9 m,4 m,353°,0.46 m/s,13-07-Am,7.2423,61.6674,285
03m 30s,309.0 m,5 m,350°,0.36 m/s,13-07-Am,7.2423,61.6674,285
03m 35s,319.1 m,5 m,341°,0.41 m/s,13-07-Am,7.2423,61.6674,285
03m 45s,339.3 m,5 m,358°,0.24 m/s,13-07-Am,7.2423,61.6674,285
04m 00s,369.4 m,5 m,63°,0.61 m/s,13-07-Am,7.2423,61.6674,285
04m 05s,379.4 m,5 m,56°,0.77 m/s,13-07-Am,7.2423,61.6674,285
04m 15s,399.5 m,5 m,47°,0.87 m/s,13-07-Am,7.2423,61.6674,285
04m 20s,409.5 m,5 m,49°,0.88 m/s,13-07-Am,7.2423,61.6674,285
04m 30s,429.6 m,5 m,31°,0.90 m/s,13-07-Am,7.2423,61.6674,285
04m 45s,459.8 m,5 m,85°,0.84 m/s,13-07-Am,7.2423,61.6674,285
04m 50s,469.9 m,5 m,97°,0.83 m/s,13-07-Am,7.2423,61.6674,285
05m 05s,497.8 m,5 m,132°,0.61 m/s,13-07-Am,7.2423,61.6674,285
