Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 15s,4.5 m,2 m,333°,6.21 m/s,12-18-Cm,7.1993,61.6805,420
00m 20s,9.2 m,2 m,325°,6.05 m/s,12-18-Cm,7.1993,61.6805,420
00m 25s,14.9 m,2 m,314°,6.02 m/s,12-18-Cm,7.1993,61.6805,420
00m 30s,22.5 m,2 m,316°,5.47 m/s,12-18-Cm,7.1993,61.6805,420
00m 35s,29.8 m,2 m,311°,4.88 m/s,12-18-Cm,7.1993,61.6805,420
00m 40s,38.4 m,2 m,307°,4.72 m/s,12-18-Cm,7.1993,61.6805,420
00m 45s,46.2 m,2 m,306°,4.37 m/s,12-18-Cm,7.1993,61.6805,420
00m 50s,52.5 m,2 m,311°,4.55 m/s,12-18-Cm,7.1993,61.6805,420
00m 55s,58.7 m,2 m,306°,3.99 m/s,12-18-Cm,7.1993,61.6805,420
01m 00s,64.3 m,2 m,305°,4.06 m/s,12-18-Cm,7.1993,61.6805,420
01m 05s,69.4 m,2 m,305°,4.23 m/s,12-18-Cm,7.1993,61.6805,420
01m 10s,74.2 m,2 m,307°,3.69 m/s,12-18-Cm,7.1993,61.6805,420
01m 15s,79.3 m,2 m,315°,3.38 m/s,12-18-Cm,7.1993,61.6805,420
01m 20s,84.3 m,2 m,314°,3.29 m/s,12-18-Cm,7.1993,61.6805,420
01m 25s,89.4 m,2 m,313°,3.89 m/s,12-18-Cm,7.1993,61.6805,420
01m 30s,94.7 m,2 m,312°,4.08 m/s,12-18-Cm,7.1993,61.6805,420
01m 35s,100.0 m,2 m,309°,4.79 m/s,12-18-Cm,7.1993,61.6805,420
01m 40s,106.7 m,2 m,316°,4.66 m/s,12-18-Cm,7.1993,61.6805,420
01m 45s,116.6 m,2 m,319°,4.85 m/s,12-18-Cm,7.1993,61.6805,420
02m 15s,119.5 m,102 m,325°,4.10 m/s,,,,420
02m 25s,118.9 m,138 m,313°,4.20 m/s,,,,420
02m 40s,120.0 m,144 m,315°,4.87 m/s,,,,420
02m 45s,119.9 m,144 m,318°,5.03 m/s,,,,420
02m 50s,119.8 m,144 m,313°,4.66 m/s,,,,420
03m 05s,119.8 m,122 m,314°,4.42 m/s,,,,420
03m 30s,119.8 m,40 m,350°,4.75 m/s,,,,420
03m 35s,119.8 m,40 m,343°,4.48 m/s,,,,420
03m 40s,119.8 m,40 m,344°,4.92 m/s,,,,420
03m 45s,119.7 m,40 m,339°,5.31 m/s,,,,420
04m 55s,37.9 m,19 m,340°,5.46 m/s,,,,420
05m 00s,37.9 m,19 m,328°,5.82 m/s,,,,420
05m 05s,37.8 m,19 m,332°,5.70 m/s,,,,420
05m 35s,16.0 m,10 m,321°,6.23 m/s,,,,420
05m 40s,15.8 m,10 m,325°,5.59 m/s,,,,420
05m 45s,15.9 m,10 m,324°,5.59 m/s,,,,420
05m 50s,15.9 m,10 m,320°,5.40 m/s,,,,420
05m 55s,16.0 m,10 m,336°,5.72 m/s,,,,420
06m 00s,15.8 m,10 m,337°,5.54 m/s,,,,420
06m 05s,15.8 m,11 m,322°,5.04 m/s,,,,420
06m 10s,15.8 m,11 m,317°,5.35 m/s,,,,420
06m 15s,15.8 m,11 m,317°,5.66 m/s,,,,420
06m 50s,5.5 m,3 m,341°,4.59 m/s,12-18-Cm,7.1993,61.6805,420
06m 55s,10.3 m,3 m,335°,4.26 m/s,12-18-Cm,7.1993,61.6805,420
07m 00s,15.6 m,3 m,337°,3.78 m/s,12-18-Cm,7.1993,61.6805,420
07m 05s,21.4 m,3 m,341°,3.95 m/s,12-18-Cm,7.1993,61.6805,420
07m 10s,27.3 m,3 m,338°,5.35 m/s,12-18-Cm,7.1993,61.6805,420
07m 15s,33.8 m,3 m,323°,4.76 m/s,12-18-Cm,7.1993,61.6805,420
07m 20s,40.4 m,3 m,323°,4.16 m/s,12-18-Cm,7.1993,61.6805,420
07m 25s,46.9 m,3 m,322°,4.11 m/s,12-18-Cm,7.1993,61.6805,420
07m 30s,53.5 m,3 m,314°,5.09 m/s,12-18-Cm,7.1993,61.6805,420
07m 35s,59.9 m,3 m,313°,4.85 m/s,12-18-Cm,7.1993,61.6805,420
07m 40s,67.0 m,3 m,313°,4.80 m/s,12-18-Cm,7.1993,61.6805,420
07m 45s,73.4 m,3 m,310°,4.03 m/s,12-18-Cm,7.1993,61.6805,420
07m 50s,79.5 m,3 m,309°,4.06 m/s,12-18-Cm,7.1993,61.6805,420
07m 55s,85.7 m,3 m,299°,4.06 m/s,12-18-Cm,7.1993,61.6805,420
08m 00s,91.8 m,3 m,301°,4.16 m/s,12-18-Cm,7.1993,61.6805,420
08m 05s,97.8 m,3 m,300°,3.84 m/s,12-18-Cm,7.1993,61.6805,420
