Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 10s,2.3 m,0 m,348°,1.29 m/s,14-09-Cm,7.1993,61.6805,420
00m 15s,4.9 m,1 m,336°,1.16 m/s,14-09-Cm,7.1993,61.6805,420
00m 20s,9.2 m,1 m,339°,1.20 m/s,14-09-Cm,7.1993,61.6805,420
00m 25s,14.9 m,1 m,356°,1.21 m/s,14-09-Cm,7.1993,61.6805,420
00m 30s,21.0 m,1 m,359°,1.19 m/s,14-09-Cm,7.1993,61.6805,420
00m 40s,37.3 m,1 m,10°,1.31 m/s,14-09-Cm,7.1993,61.6805,420
00m 45s,43.6 m,2 m,356°,1.41 m/s,14-09-Cm,7.1993,61.6805,420
00m 50s,49.3 m,1 m,332°,1.24 m/s,14-09-Cm,7.1993,61.6805,420
00m 55s,54.8 m,1 m,338°,1.36 m/s,14-09-Cm,7.1993,61.6805,420
01m 00s,60.6 m,1 m,344°,1.27 m/s,14-09-Cm,7.1993,61.6805,420
01m 05s,66.6 m,1 m,352°,1.23 m/s,14-09-Cm,7.1993,61.6805,420
01m 10s,72.4 m,2 m,354°,1.50 m/s,14-09-Cm,7.1993,61.6805,420
01m 15s,78.6 m,2 m,1°,1.88 m/s,14-09-Cm,7.1993,61.6805,420
01m 20s,84.8 m,2 m,0°,1.96 m/s,14-09-Cm,7.1993,61.6805,420
01m 25s,90.7 m,1 m,5°,1.69 m/s,14-09-Cm,7.1993,61.6805,420
01m 30s,97.0 m,1 m,355°,1.53 m/s,14-09-Cm,7.1993,61.6805,420
01m 35s,104.1 m,1 m,5°,1.36 m/s,14-09-Cm,7.1993,61.6805,420
01m 40s,112.5 m,1 m,17°,1.34 m/s,14-09-Cm,7.1993,61.6805,420
01m 45s,122.3 m,1 m,23°,1.37 m/s,14-09-Cm,7.1993,61.6805,420
01m 50s,131.8 m,1 m,43°,0.85 m/s,14-09-Cm,7.1993,61.6805,420
01m 55s,141.6 m,1 m,47°,0.90 m/s,14-09-Cm,7.1993,61.6805,420
02m 00s,152.2 m,1 m,43°,0.72 m/s,14-09-Cm,7.1993,61.6805,420
02m 05s,162.8 m,1 m,42°,0.82 m/s,14-09-Cm,7.1993,61.6805,420
02m 10s,173.6 m,1 m,34°,0.91 m/s,14-09-Cm,7.1993,61.6805,420
02m 15s,184.3 m,1 m,28°,1.06 m/s,14-09-Cm,7.1993,61.6805,420
02m 20s,195.1 m,1 m,25°,1.05 m/s,14-09-Cm,7.1993,61.6805,420
02m 25s,206.0 m,1 m,9°,0.97 m/s,14-09-Cm,7.1993,61.6805,420
02m 30s,217.0 m,2 m,4°,0.99 m/s,14-09-Cm,7.1993,61.6805,420
02m 35s,227.5 m,2 m,359°,1.18 m/s,14-09-Cm,7.1993,61.6805,420
02m 40s,238.7 m,2 m,3°,1.35 m/s,14-09-Cm,7.1993,61.6805,420
02m 45s,249.6 m,2 m,15°,1.20 m/s,14-09-Cm,7.1993,61.6805,420
02m 50s,260.2 m,2 m,17°,1.22 m/s,14-09-Cm,7.1993,61.6805,420
02m 55s,271.1 m,2 m,24°,1.23 m/s,14-09-Cm,7.1993,61.6805,420
03m 00s,282.4 m,2 m,13°,1.23 m/s,14-09-Cm,7.1993,61.6805,420
03m 05s,293.8 m,2 m,2°,1.28 m/s,14-09-Cm,7.1993,61.6805,420
03m 10s,304.5 m,2 m,356°,1.18 m/s,14-09-Cm,7.1993,61.6805,420
03m 15s,314.4 m,2 m,348°,1.33 m/s,14-09-Cm,7.1993,61.6805,420
03m 20s,324.3 m,2 m,335°,1.52 m/s,14-09-Cm,7.1993,61.6805,420
03m 25s,334.6 m,1 m,312°,1.04 m/s,14-09-Cm,7.1993,61.6805,420
03m 30s,345.5 m,1 m,302°,1.06 m/s,14-09-Cm,7.1993,61.6805,420
03m 35s,356.4 m,1 m,291°,1.06 m/s,14-09-Cm,7.1993,61.6805,420
03m 40s,367.1 m,1 m,53°,0.36 m/s,14-09-Cm,7.1993,61.6805,420
03m 45s,377.8 m,1 m,77°,2.05 m/s,14-09-Cm,7.1993,61.6805,420
03m 50s,388.4 m,2 m,86°,2.17 m/s,14-09-Cm,7.1993,61.6805,420
03m 55s,399.0 m,1 m,68°,2.56 m/s,14-09-Cm,7.1993,61.6805,420
04m 00s,409.8 m,1 m,91°,2.87 m/s,14-09-Cm,7.1993,61.6805,420
04m 05s,420.5 m,1 m,109°,2.96 m/s,14-09-Cm,7.1993,61.6805,420
04m 10s,431.0 m,2 m,121°,2.96 m/s,14-09-Cm,7.1993,61.6805,420
04m 15s,441.8 m,2 m,99°,5.00 m/s,14-09-Cm,7.1993,61.6805,420
04m 20s,452.2 m,1 m,92°,5.88 m/s,14-09-Cm,7.1993,61.6805,420
04m 25s,462.3 m,1 m,104°,5.35 m/s,14-09-Cm,7.1993,61.6805,420
04m 30s,472.8 m,2 m,112°,5.80 m/s,14-09-Cm,7.1993,61.6805,420
04m 35s,483.1 m,2 m,103°,4.94 m/s,14-09-Cm,7.1993,61.6805,420
04m 40s,493.1 m,2 m,91°,5.70 m/s,14-09-Cm,7.1993,61.6805,420
04m 45s,499.8 m,2 m,93°,6.20 m/s,14-09-Cm,7.1993,61.6805,420
04m 50s,499.8 m,2 m,88°,5.95 m/s,14-09-Cm,7.1993,61.6805,420
