Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
04m 55s,33.6 m,4 m,320°,2.63 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 00s,39.0 m,4 m,322°,2.75 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 05s,44.2 m,4 m,320°,2.79 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 10s,49.4 m,4 m,322°,3.13 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 15s,54.6 m,4 m,326°,2.69 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 20s,60.0 m,4 m,319°,2.98 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 25s,65.1 m,4 m,303°,2.76 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 30s,70.4 m,4 m,307°,2.57 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 35s,75.9 m,4 m,301°,2.71 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 40s,81.6 m,4 m,312°,2.19 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 45s,87.0 m,4 m,307°,3.32 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 50s,92.4 m,3 m,325°,2.42 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
05m 55s,98.0 m,4 m,308°,3.59 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 00s,106.4 m,4 m,314°,2.53 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 05s,115.8 m,4 m,286°,3.04 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 10s,125.5 m,4 m,289°,2.63 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 15s,137.6 m,4 m,310°,1.92 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 20s,149.1 m,4 m,310°,2.53 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 25s,160.2 m,3 m,328°,3.35 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 30s,170.5 m,4 m,282°,2.81 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 35s,181.0 m,4 m,298°,2.45 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 40s,191.0 m,4 m,303°,2.04 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 45s,200.3 m,4 m,303°,3.17 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
06m 50s,209.2 m,9 m,229°,0.97 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
07m 00s,226.2 m,3 m,281°,1.37 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
07m 05s,234.5 m,5 m,287°,0.92 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
07m 10s,243.9 m,5 m,231°,0.81 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
07m 15s,253.6 m,7 m,304°,0.95 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
07m 20s,263.2 m,10 m,302°,0.41 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
07m 25s,273.0 m,14 m,97°,1.99 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
07m 35s,292.7 m,9 m,195°,0.99 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
07m 40s,301.8 m,3 m,240°,2.11 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
07m 45s,310.7 m,3 m,271°,2.10 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
07m 55s,329.9 m,5 m,252°,1.76 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
08m 10s,357.8 m,15 m,189°,0.49 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
08m 20s,378.6 m,12 m,261°,2.16 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
08m 25s,389.3 m,12 m,258°,2.80 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
08m 30s,399.9 m,12 m,255°,2.72 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
08m 35s,409.9 m,14 m,264°,1.90 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
08m 40s,419.0 m,14 m,269°,2.03 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
08m 45s,427.6 m,17 m,273°,3.26 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
08m 50s,437.0 m,21 m,275°,2.37 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
09m 05s,465.6 m,16 m,300°,3.80 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
09m 10s,474.8 m,16 m,288°,2.51 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
09m 15s,483.9 m,15 m,280°,2.28 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
09m 25s,499.7 m,13 m,280°,3.11 m/s,13-09-Dm,7.19779468433117,61.686051540062,540
