Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 30s,21.1 m,7 m,256°,3.87 m/s,12-18-Am,7.2423,61.6674,285
00m 40s,31.2 m,7 m,268°,4.78 m/s,12-18-Am,7.2423,61.6674,285
00m 50s,41.2 m,7 m,276°,5.18 m/s,12-18-Am,7.2423,61.6674,285
00m 55s,46.2 m,7 m,278°,4.90 m/s,12-18-Am,7.2423,61.6674,285
01m 05s,56.3 m,7 m,284°,5.59 m/s,12-18-Am,7.2423,61.6674,285
01m 15s,66.4 m,7 m,293°,5.52 m/s,12-18-Am,7.2423,61.6674,285
01m 25s,76.5 m,7 m,293°,5.85 m/s,12-18-Am,7.2423,61.6674,285
01m 45s,96.0 m,7 m,301°,5.04 m/s,12-18-Am,7.2423,61.6674,285
02m 40s,156.6 m,7 m,323°,4.35 m/s,12-18-Am,7.2423,61.6674,285
03m 05s,184.3 m,7 m,327°,5.22 m/s,12-18-Am,7.2423,61.6674,285
03m 15s,195.2 m,7 m,327°,4.97 m/s,12-18-Am,7.2423,61.6674,285
03m 35s,217.5 m,6 m,337°,5.87 m/s,12-18-Am,7.2423,61.6674,285
04m 05s,250.8 m,6 m,322°,3.74 m/s,12-18-Am,7.2423,61.6674,285
07m 45s,494.3 m,4 m,281°,3.46 m/s,12-18-Am,7.2423,61.6674,285
07m 50s,499.1 m,4 m,290°,5.79 m/s,12-18-Am,7.2423,61.6674,285
10m 00s,267.6 m,0 m,313°,6.46 m/s,12-18-Am,7.2423,61.6674,285
10m 15s,263.4 m,1 m,275°,5.39 m/s,12-18-Am,7.2423,61.6674,285
10m 20s,263.4 m,4 m,274°,7.58 m/s,12-18-Am,7.2423,61.6674,285
13m 15s,-2.8 m,2 m,44°,1.48 m/s,,,,
