Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
11m 10s,16.2 m,100 m,332°,4.70 m/s,,,,295
11m 30s,20.7 m,136 m,328°,5.09 m/s,14-15-Bu,,,295
11m 35s,25.9 m,135 m,336°,5.18 m/s,14-15-Bu,,,295
11m 40s,31.7 m,135 m,344°,4.74 m/s,14-15-Bu,,,295
11m 45s,37.2 m,135 m,350°,5.15 m/s,14-15-Bu,,,295
11m 50s,43.1 m,135 m,352°,4.81 m/s,14-15-Bu,,,295
11m 55s,48.9 m,135 m,359°,4.28 m/s,14-15-Bu,,,295
12m 00s,54.4 m,135 m,357°,4.69 m/s,14-15-Bu,,,295
12m 05s,59.6 m,135 m,351°,3.36 m/s,14-15-Bu,,,295
12m 10s,64.7 m,135 m,358°,3.51 m/s,14-15-Bu,,,295
12m 15s,69.6 m,135 m,1°,3.30 m/s,14-15-Bu,,,295
12m 20s,74.8 m,135 m,357°,2.59 m/s,14-15-Bu,,,295
12m 25s,80.2 m,135 m,356°,2.40 m/s,14-15-Bu,,,295
12m 30s,85.5 m,135 m,356°,2.26 m/s,14-15-Bu,,,295
12m 35s,90.9 m,135 m,354°,2.46 m/s,14-15-Bu,,,295
12m 40s,96.3 m,135 m,354°,2.49 m/s,14-15-Bu,,,295
12m 45s,103.0 m,135 m,357°,2.44 m/s,14-15-Bu,,,295
12m 50s,112.3 m,135 m,350°,2.63 m/s,14-15-Bu,,,295
12m 55s,122.5 m,135 m,352°,2.43 m/s,14-15-Bu,,,295
13m 00s,132.6 m,135 m,353°,2.26 m/s,14-15-Bu,,,295
13m 05s,142.8 m,135 m,2°,2.42 m/s,14-15-Bu,,,295
13m 10s,152.9 m,135 m,358°,2.44 m/s,14-15-Bu,,,295
13m 15s,162.4 m,135 m,359°,2.45 m/s,14-15-Bu,,,295
13m 20s,172.1 m,135 m,1°,2.68 m/s,14-15-Bu,,,295
13m 25s,181.4 m,135 m,356°,2.93 m/s,14-15-Bu,,,295
13m 30s,191.6 m,136 m,358°,2.81 m/s,14-15-Bu,,,295
13m 35s,201.2 m,135 m,0°,2.24 m/s,14-15-Bu,,,295
13m 40s,211.2 m,135 m,1°,2.29 m/s,14-15-Bu,,,295
13m 45s,220.7 m,135 m,4°,2.40 m/s,14-15-Bu,,,295
13m 50s,228.6 m,135 m,4°,2.00 m/s,14-15-Bu,,,295
13m 55s,237.3 m,135 m,14°,1.86 m/s,14-15-Bu,,,295
14m 00s,247.0 m,135 m,1°,1.92 m/s,14-15-Bu,,,295
14m 05s,256.9 m,135 m,8°,2.02 m/s,14-15-Bu,,,295
14m 10s,266.9 m,135 m,15°,2.08 m/s,14-15-Bu,,,295
14m 15s,276.6 m,135 m,19°,1.50 m/s,14-15-Bu,,,295
14m 20s,285.4 m,135 m,33°,1.95 m/s,14-15-Bu,,,295
14m 25s,295.1 m,135 m,19°,1.49 m/s,14-15-Bu,,,295
14m 30s,304.5 m,135 m,36°,2.05 m/s,14-15-Bu,,,295
14m 35s,314.8 m,135 m,42°,2.49 m/s,14-15-Bu,,,295
14m 40s,324.8 m,135 m,20°,1.94 m/s,14-15-Bu,,,295
14m 45s,334.8 m,135 m,8°,1.82 m/s,14-15-Bu,,,295
14m 50s,344.6 m,135 m,21°,1.87 m/s,14-15-Bu,,,295
14m 55s,355.0 m,135 m,38°,2.13 m/s,14-15-Bu,,,295
15m 00s,365.3 m,135 m,40°,3.00 m/s,14-15-Bu,,,295
15m 05s,375.4 m,135 m,43°,3.06 m/s,14-15-Bu,,,295
15m 10s,385.6 m,135 m,48°,2.52 m/s,14-15-Bu,,,295
15m 15s,396.1 m,135 m,47°,3.45 m/s,14-15-Bu,,,295
15m 35s,403.7 m,39 m,115°,4.37 m/s,,,,295
15m 45s,403.5 m,1 m,80°,3.37 m/s,,,,295
18m 35s,2.7 m,2 m,3°,2.61 m/s,hover_hobo,,,295
18m 40s,2.8 m,2 m,6°,2.70 m/s,hover_hobo,,,295
18m 45s,4.2 m,2 m,7°,2.75 m/s,hover_hobo,,,295
18m 50s,4.2 m,2 m,10°,2.66 m/s,hover_hobo,,,295
18m 55s,3.4 m,2 m,8°,2.70 m/s,hover_hobo,,,295
19m 00s,4.2 m,2 m,8°,2.70 m/s,hover_hobo,,,295
19m 05s,3.3 m,2 m,12°,2.72 m/s,hover_hobo,,,295
19m 15s,3.4 m,2 m,1°,2.64 m/s,hover_hobo,,,295
19m 20s,4.1 m,1 m,11°,2.77 m/s,hover_hobo,,,295
19m 25s,4.2 m,1 m,9°,2.74 m/s,hover_hobo,,,295
19m 30s,4.2 m,1 m,10°,2.99 m/s,hover_hobo,,,295
19m 35s,4.2 m,1 m,3°,2.89 m/s,hover_hobo,,,295
19m 40s,4.2 m,1 m,3°,2.95 m/s,hover_hobo,,,295
19m 45s,4.1 m,1 m,352°,2.89 m/s,hover_hobo,,,295
19m 56s,1.2 m,1 m,1°,3.35 m/s,,,,295
