Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
11m 45s,15.7 m,98 m,337°,0.61 m/s,,,,285
11m 50s,15.8 m,134 m,337°,0.96 m/s,,,,285
11m 55s,16.0 m,175 m,345°,0.89 m/s,,,,285
12m 00s,14.9 m,218 m,342°,0.93 m/s,,,,285
12m 20s,1.3 m,281 m,233°,1.29 m/s,14-09-Au,,,285
12m 25s,5.8 m,281 m,259°,2.38 m/s,14-09-Au,,,285
12m 30s,11.7 m,281 m,253°,1.98 m/s,14-09-Au,,,285
12m 35s,18.9 m,282 m,258°,1.60 m/s,14-09-Au,,,285
12m 40s,26.0 m,282 m,257°,1.72 m/s,14-09-Au,,,285
12m 45s,33.5 m,282 m,243°,1.48 m/s,14-09-Au,,,285
12m 50s,39.7 m,282 m,248°,1.77 m/s,14-09-Au,,,285
12m 55s,46.3 m,283 m,243°,1.61 m/s,14-09-Au,,,285
13m 00s,52.7 m,283 m,236°,1.48 m/s,14-09-Au,,,285
13m 05s,58.5 m,283 m,241°,1.53 m/s,14-09-Au,,,285
13m 10s,64.8 m,283 m,228°,1.24 m/s,14-09-Au,,,285
13m 15s,71.3 m,283 m,229°,1.30 m/s,14-09-Au,,,285
13m 20s,77.8 m,283 m,231°,1.40 m/s,14-09-Au,,,285
13m 25s,84.6 m,283 m,226°,1.26 m/s,14-09-Au,,,285
13m 30s,91.7 m,283 m,227°,1.12 m/s,14-09-Au,,,285
13m 35s,99.1 m,283 m,228°,0.90 m/s,14-09-Au,,,285
13m 40s,107.9 m,283 m,222°,0.85 m/s,14-09-Au,,,285
15m 35s,27.1 m,271 m,269°,1.41 m/s,,,,285
16m 20s,20.5 m,196 m,210°,0.72 m/s,,,,285
16m 25s,20.5 m,152 m,235°,0.78 m/s,,,,285
16m 30s,20.4 m,108 m,251°,0.57 m/s,,,,285
16m 35s,20.2 m,65 m,236°,0.77 m/s,,,,285
