Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
06:14.5     	11:19:55.5         	508.6    	0.1                 	4.1                   	7.20533      	61.6834     	656.4
06:15.4     	11:19:56.4         	512.9    	0.1                 	4.2                   	7.20538      	61.6834     	658.7
06:16.3     	11:19:57.3         	517.4    	0.1                 	4.2                   	7.20544      	61.6834     	660.9
06:17.4     	11:19:58.4         	522.2    	0.1                 	4.5                   	7.20552      	61.6834     	663.1
06:18.3     	11:19:59.3         	631.1    	0.0                 	5.1                   	7.20561      	61.6834     	0.0
06:19.4     	11:20:00.4         	634.9    	0.1                 	5.0                   	7.20568      	61.6835     	0.0
06:20.4     	11:20:01.4         	539.3    	0.1                 	5.1                   	7.20576      	61.6835     	669.6
06:21.4     	11:20:02.4         	545.6    	0.1                 	5.2                   	7.20583      	61.6835     	671.6
06:22.3     	11:20:03.3         	551.8    	0.1                 	5.3                   	7.20590      	61.6836     	673.6
06:23.4     	11:20:04.4         	558.4    	0.1                 	5.5                   	7.20598      	61.6836     	675.7
06:24.3     	11:20:05.3         	565.0    	0.1                 	5.8                   	7.20606      	61.6837     	677.8
06:25.4     	11:20:06.4         	662.6    	0.1                 	5.8                   	7.20615      	61.6837     	0.0
06:26.3     	11:20:07.3         	578.1    	0.1                 	5.9                   	7.20624      	61.6837     	681.9
06:27.4     	11:20:08.4         	584.7    	0.1                 	6.0                   	7.20634      	61.6838     	684.0
06:29.5     	11:20:10.5         	598.1    	0.1                 	6.2                   	7.20655      	61.6838     	688.2
06:30.4     	11:20:11.4         	605.3    	0.1                 	6.3                   	7.20665      	61.6839     	690.4
06:31.3     	11:20:12.3         	---      	---                 	---                   	---          	---         	---
06:32.4     	11:20:13.4         	621.2    	0.1                 	7.2                   	7.20687      	61.6840     	694.8
06:33.3     	11:20:14.3         	707.4    	0.2                 	7.6                   	7.20699      	61.6840     	0.0
06:34.4     	11:20:15.4         	638.8    	0.2                 	7.5                   	7.20711      	61.6841     	698.8
06:35.3     	11:20:16.3         	---      	---                 	---                   	---          	---         	---
06:36.4     	11:20:17.4         	655.7    	0.2                 	7.4                   	7.20734      	61.6842     	702.8
06:37.3     	11:20:18.3         	664.1    	0.2                 	7.4                   	7.20745      	61.6842     	704.7
06:39.4     	11:20:20.4         	681.5    	0.2                 	7.7                   	7.20767      	61.6844     	708.6
06:41.4     	11:20:22.4         	699.8    	0.2                 	8.0                   	7.20787      	61.6845     	712.6
06:42.5     	11:20:23.5         	708.5    	0.2                 	7.9                   	7.20796      	61.6846     	714.6
06:43.4     	11:20:24.4         	717.1    	0.3                 	7.8                   	7.20804      	61.6846     	716.7
06:44.3     	11:20:25.3         	726.2    	0.3                 	8.2                   	7.20812      	61.6847     	718.8
06:45.4     	11:20:26.4         	735.2    	0.3                 	8.4                   	7.20819      	61.6848     	720.9
06:46.3     	11:20:27.3         	800.9    	0.3                 	8.2                   	7.20827      	61.6849     	0.0
06:47.4     	11:20:28.4         	752.0    	0.3                 	7.8                   	7.20834      	61.6849     	725.4
06:48.3     	11:20:29.3         	760.3    	0.3                 	7.9                   	7.20841      	61.6850     	727.7
06:49.5     	11:20:30.5         	768.2    	0.3                 	7.6                   	7.20849      	61.6851     	730.0
06:50.4     	11:20:31.4         	775.7    	0.3                 	7.3                   	7.20856      	61.6851     	732.3
06:51.5     	11:20:32.5         	783.3    	0.3                 	7.2                   	7.20864      	61.6852     	734.6
06:52.3     	11:20:33.3         	790.1    	0.3                 	6.9                   	7.20870      	61.6852     	737.0
06:54.3     	11:20:35.3         	803.1    	0.3                 	6.4                   	7.20883      	61.6853     	741.8
06:55.5     	11:20:36.5         	809.0    	0.3                 	6.1                   	7.20889      	61.6853     	744.3
06:56.3     	11:20:37.3         	814.8    	0.3                 	6.0                   	7.20896      	61.6854     	746.7
06:57.2     	11:20:38.2         	820.7    	0.2                 	6.0                   	7.20902      	61.6854     	749.1
06:59.3     	11:20:40.3         	832.3    	0.2                 	5.8                   	7.20913      	61.6855     	754.1
07:00.4     	11:20:41.4         	837.8    	0.2                 	5.6                   	7.20918      	61.6855     	756.6
07:02.4     	11:20:43.4         	848.3    	0.2                 	5.3                   	7.20927      	61.6856     	761.7
07:04.4     	11:20:45.4         	859.0    	0.2                 	5.4                   	7.20938      	61.6857     	766.9
07:05.3     	11:20:46.3         	864.7    	0.2                 	5.7                   	7.20945      	61.6857     	769.5
07:06.4     	11:20:47.4         	869.9    	0.2                 	5.6                   	7.20953      	61.6857     	772.2
07:07.3     	11:20:48.3         	875.4    	0.2                 	5.5                   	7.20960      	61.6858     	774.9
07:08.5     	11:20:49.5         	880.4    	0.2                 	5.1                   	7.20966      	61.6858     	777.6
07:09.4     	11:20:50.4         	885.5    	0.2                 	5.1                   	7.20973      	61.6858     	780.3
07:10.5     	11:20:51.5         	---      	---                 	---                   	---          	---         	---
07:11.4     	11:20:52.4         	893.6    	0.1                 	4.2                   	7.20982      	61.6858     	785.5
07:12.3     	11:20:53.3         	897.5    	0.1                 	4.2                   	7.20986      	61.6859     	788.0
07:13.4     	11:20:54.4         	900.8    	0.1                 	3.9                   	7.20990      	61.6859     	790.6
07:14.3     	11:20:55.3         	903.5    	0.1                 	3.3                   	7.20993      	61.6859     	793.2
07:15.4     	11:20:56.4         	---      	---                 	---                   	---          	---         	---
07:17.4     	11:20:58.4         	910.5    	0.2                 	2.6                   	7.21003      	61.6859     	801.5
07:18.4     	11:20:59.4         	912.7    	0.1                 	2.5                   	7.21007      	61.6859     	804.3
07:20.4     	11:21:01.4         	917.7    	0.1                 	2.3                   	7.21013      	61.6859     	810.1
07:21.5     	11:21:02.5         	920.2    	0.1                 	2.3                   	7.21017      	61.6859     	813.0
07:22.4     	11:21:03.4         	922.7    	0.1                 	2.4                   	7.21020      	61.6859     	815.9
07:23.5     	11:21:04.5         	924.7    	0.1                 	2.2                   	7.21024      	61.6859     	818.8
07:24.4     	11:21:05.4         	926.9    	0.1                 	2.4                   	7.21028      	61.6859     	821.8
07:26.4     	11:21:07.4         	931.5    	0.1                 	3.1                   	7.21039      	61.6859     	827.6
07:27.2     	11:21:08.2         	934.0    	0.1                 	2.8                   	7.21044      	61.6859     	830.6
07:28.5     	11:21:09.5         	936.5    	0.1                 	2.6                   	7.21048      	61.6859     	833.5
07:29.3     	11:21:10.3         	939.1    	0.1                 	2.6                   	7.21053      	61.6858     	836.5
07:30.5     	11:21:11.5         	941.8    	0.1                 	2.8                   	7.21058      	61.6858     	839.5
07:31.3     	11:21:12.3         	943.3    	0.1                 	2.5                   	7.21062      	61.6858     	842.5
07:32.5     	11:21:13.5         	945.2    	0.1                 	2.6                   	7.21067      	61.6858     	845.4
07:34.5     	11:21:15.5         	947.8    	0.1                 	2.7                   	7.21076      	61.6858     	851.4
07:35.3     	11:21:16.3         	945.1    	0.0                 	3.0                   	7.21081      	61.6857     	0.0
07:36.4     	11:21:17.4         	950.9    	0.1                 	3.1                   	7.21086      	61.6857     	857.5
07:37.4     	11:21:18.4         	953.8    	0.1                 	3.2                   	7.21092      	61.6857     	860.5
07:38.5     	11:21:19.5         	956.1    	0.1                 	3.6                   	7.21099      	61.6857     	863.5
07:39.4     	11:21:20.4         	958.5    	0.1                 	3.9                   	7.21106      	61.6857     	866.5
07:40.3     	11:21:21.3         	961.4    	0.2                 	4.0                   	7.21113      	61.6857     	869.6
07:41.4     	11:21:22.4         	964.2    	0.2                 	3.7                   	7.21120      	61.6856     	872.6
07:42.3     	11:21:23.3         	953.3    	0.2                 	3.6                   	7.21127      	61.6856     	0.0
07:43.4     	11:21:24.4         	969.2    	0.2                 	3.3                   	7.21133      	61.6856     	878.7
07:45.4     	11:21:26.4         	973.8    	0.1                 	3.8                   	7.21147      	61.6856     	884.6
07:46.3     	11:21:27.3         	976.9    	0.1                 	3.7                   	7.21154      	61.6855     	887.7
07:47.5     	11:21:28.5         	980.0    	0.1                 	3.5                   	7.21160      	61.6855     	890.7
07:48.4     	11:21:29.4         	983.1    	0.2                 	3.7                   	7.21167      	61.6855     	893.8
07:49.5     	11:21:30.5         	986.3    	0.1                 	3.8                   	7.21175      	61.6855     	896.9
07:50.4     	11:21:31.4         	989.0    	0.1                 	3.8                   	7.21182      	61.6855     	900.0
07:52.4     	11:21:33.4         	995.0    	0.1                 	4.6                   	7.21198      	61.6854     	906.1
07:53.5     	11:21:34.5         	998.0    	0.1                 	4.8                   	7.21207      	61.6854     	909.3
07:54.4     	11:21:35.4         	1001.0   	0.2                 	4.8                   	7.21216      	61.6854     	912.4
07:55.3     	11:21:36.3         	1004.2   	0.2                 	4.6                   	7.21224      	61.6854     	915.5
07:56.4     	11:21:37.4         	1007.2   	0.2                 	4.3                   	7.21232      	61.6853     	918.6
07:57.3     	11:21:38.3         	---      	---                 	---                   	---          	---         	---
07:58.5     	11:21:39.5         	---      	---                 	---                   	---          	---         	---
07:59.4     	11:21:40.4         	977.8    	0.0                 	4.4                   	7.21256      	61.6853     	0.0
08:00.4     	11:21:41.4         	1020.2   	0.2                 	4.3                   	7.21264      	61.6853     	931.0
08:01.4     	11:21:42.4         	1022.3   	0.2                 	3.9                   	7.21271      	61.6852     	934.1
08:02.4     	11:21:43.4         	1024.5   	0.2                 	3.7                   	7.21276      	61.6852     	937.2
08:03.3     	11:21:44.3         	1026.6   	0.2                 	3.9                   	7.21282      	61.6852     	940.3
08:04.4     	11:21:45.4         	1029.0   	0.2                 	4.1                   	7.21289      	61.6851     	943.4
08:05.3     	11:21:46.3         	983.5    	0.0                 	4.5                   	7.21296      	61.6851     	0.0
08:06.4     	11:21:47.4         	1034.4   	0.1                 	4.9                   	7.21304      	61.6851     	949.5
08:07.3     	11:21:48.3         	1037.6   	0.1                 	4.8                   	7.21312      	61.6850     	952.6
08:08.5     	11:21:49.5         	---      	---                 	---                   	---          	---         	---
08:09.4     	11:21:50.4         	1044.1   	0.1                 	4.4                   	7.21328      	61.6850     	958.8
08:10.3     	11:21:51.3         	1047.5   	0.1                 	4.3                   	7.21335      	61.6850     	961.9
08:11.4     	11:21:52.4         	---      	---                 	---                   	---          	---         	---
08:12.3     	11:21:53.3         	---      	---                 	---                   	---          	---         	---
08:13.4     	11:21:54.4         	1056.8   	0.2                 	3.7                   	7.21355      	61.6849     	971.1
08:14.3     	11:21:55.3         	1059.9   	0.2                 	4.0                   	7.21363      	61.6849     	974.1
08:15.4     	11:21:56.4         	1000.7   	0.0                 	4.1                   	7.21370      	61.6849     	0.0
08:16.3     	11:21:57.3         	1066.6   	0.1                 	4.0                   	7.21377      	61.6849     	980.1
08:17.5     	11:21:58.5         	---      	---                 	---                   	---          	---         	---
08:19.5     	11:22:00.5         	1076.8   	0.1                 	4.9                   	7.21400      	61.6848     	989.1
08:20.4     	11:22:01.4         	1080.2   	0.1                 	5.0                   	7.21408      	61.6848     	992.2
08:21.5     	11:22:02.5         	1083.6   	0.1                 	5.2                   	7.21417      	61.6847     	995.2
08:22.4     	11:22:03.4         	1087.4   	0.1                 	5.6                   	7.21426      	61.6847     	998.3
08:23.5     	11:22:04.5         	1091.2   	0.2                 	5.4                   	7.21435      	61.6847     	1001.3
08:24.4     	11:22:05.4         	1094.8   	0.2                 	5.4                   	7.21444      	61.6847     	1004.4
08:25.3     	11:22:06.3         	1098.4   	0.2                 	5.3                   	7.21453      	61.6846     	1007.4
08:26.3     	11:22:07.3         	1102.0   	0.2                 	5.1                   	7.21461      	61.6846     	1010.4
08:27.3     	11:22:08.3         	1105.7   	0.2                 	5.1                   	7.21469      	61.6846     	1013.4
08:28.4     	11:22:09.4         	1109.3   	0.1                 	5.0                   	7.21477      	61.6845     	1016.4
08:29.3     	11:22:10.3         	1112.7   	0.1                 	4.8                   	7.21485      	61.6845     	1019.3
08:30.4     	11:22:11.4         	1115.8   	0.2                 	4.4                   	7.21491      	61.6845     	1022.3
08:31.3     	11:22:12.3         	1119.0   	0.1                 	4.1                   	7.21497      	61.6845     	1025.2
08:32.4     	11:22:13.4         	1121.7   	0.1                 	3.9                   	7.21503      	61.6845     	1027.9
08:35.4     	11:22:16.4         	1129.9   	0.1                 	3.9                   	7.21521      	61.6844     	1036.1
08:36.5     	11:22:17.5         	1132.6   	0.2                 	3.8                   	7.21526      	61.6844     	1038.8
08:37.4     	11:22:18.4         	1135.1   	0.2                 	3.7                   	7.21532      	61.6843     	1041.6
08:38.3     	11:22:19.3         	1137.4   	0.2                 	3.5                   	7.21536      	61.6843     	1044.3
08:39.4     	11:22:20.4         	1140.2   	0.2                 	3.5                   	7.21541      	61.6843     	1047.2
08:40.3     	11:22:21.3         	1143.3   	0.2                 	3.4                   	7.21546      	61.6843     	1050.1
08:41.4     	11:22:22.4         	1146.6   	0.1                 	3.6                   	7.21552      	61.6843     	1053.0
08:42.3     	11:22:23.3         	1150.1   	0.2                 	3.7                   	7.21559      	61.6842     	1055.9
08:43.4     	11:22:24.4         	1154.2   	0.1                 	4.1                   	7.21567      	61.6842     	1058.8
08:44.3     	11:22:25.3         	1157.5   	0.2                 	3.9                   	7.21573      	61.6842     	1061.8
08:45.5     	11:22:26.5         	1160.9   	0.2                 	3.8                   	7.21579      	61.6842     	1064.7
08:46.4     	11:22:27.4         	1163.8   	0.1                 	3.5                   	7.21584      	61.6842     	1067.5
08:47.5     	11:22:28.5         	1166.9   	0.1                 	3.6                   	7.21590      	61.6842     	1070.4
08:48.4     	11:22:29.4         	---      	---                 	---                   	---          	---         	---
08:49.5     	11:22:30.5         	1062.7   	0.1                 	4.1                   	7.21603      	61.6841     	0.0
08:50.4     	11:22:31.4         	1177.5   	0.1                 	4.6                   	7.21611      	61.6841     	1079.0
08:51.5     	11:22:32.5         	1181.5   	0.1                 	4.7                   	7.21620      	61.6841     	1081.9
08:52.4     	11:22:33.4         	1185.7   	0.1                 	5.2                   	7.21629      	61.6840     	1084.8
08:53.2     	11:22:34.2         	1189.5   	0.1                 	5.5                   	7.21638      	61.6840     	1087.8
08:54.4     	11:22:35.4         	1193.8   	0.1                 	5.8                   	7.21648      	61.6839     	1090.7
08:55.3     	11:22:36.3         	1197.8   	0.2                 	5.5                   	7.21657      	61.6839     	1093.7
08:56.5     	11:22:37.5         	---      	---                 	---                   	---          	---         	---
08:57.3     	11:22:38.3         	1205.9   	0.2                 	5.2                   	7.21674      	61.6838     	1099.7
08:58.5     	11:22:39.5         	1210.2   	0.2                 	5.3                   	7.21683      	61.6838     	1102.7
08:59.3     	11:22:40.3         	1214.6   	0.2                 	5.5                   	7.21692      	61.6838     	1105.6
09:00.5     	11:22:41.5         	1092.7   	0.0                 	5.7                   	7.21702      	61.6837     	0.0
09:02.5     	11:22:43.5         	---      	---                 	---                   	---          	---         	---
09:03.3     	11:22:44.3         	1232.3   	0.2                 	5.3                   	7.21729      	61.6837     	1117.5
09:04.5     	11:22:45.5         	1236.5   	0.2                 	5.3                   	7.21738      	61.6836     	1120.2
09:05.4     	11:22:46.4         	1240.5   	0.1                 	5.1                   	7.21746      	61.6836     	1123.0
09:06.6     	11:22:47.6         	---      	---                 	---                   	---          	---         	---
09:07.4     	11:22:48.4         	1248.3   	0.1                 	4.8                   	7.21761      	61.6835     	1128.4
09:08.3     	11:22:49.3         	1252.8   	0.1                 	5.2                   	7.21770      	61.6835     	1131.1
09:09.4     	11:22:50.4         	1119.4   	0.1                 	5.8                   	7.21780      	61.6835     	0.0
09:11.4     	11:22:52.4         	1266.8   	0.2                 	6.7                   	7.21800      	61.6834     	1139.8
09:12.3     	11:22:53.3         	1130.0   	0.2                 	6.8                   	7.21811      	61.6834     	0.0
09:13.5     	11:22:54.5         	1276.6   	0.2                 	7.0                   	7.21821      	61.6833     	1145.8
09:14.4     	11:22:55.4         	---      	---                 	---                   	---          	---         	---
09:15.5     	11:22:56.5         	1285.6   	0.3                 	6.7                   	7.21840      	61.6832     	1152.0
09:16.4     	11:22:57.4         	1290.0   	0.2                 	6.3                   	7.21849      	61.6832     	1154.9
09:17.5     	11:22:58.5         	1294.4   	0.2                 	6.0                   	7.21858      	61.6832     	1158.0
09:20.4     	11:23:01.4         	1308.6   	0.1                 	6.0                   	7.21885      	61.6831     	1166.7
09:22.4     	11:23:03.4         	1321.2   	0.1                 	6.3                   	7.21909      	61.6830     	1172.6
09:24.5     	11:23:05.5         	1332.2   	0.1                 	5.5                   	7.21928      	61.6830     	1178.6
09:25.4     	11:23:06.4         	1179.5   	0.2                 	5.5                   	7.21937      	61.6830     	0.0
09:26.5     	11:23:07.5         	1342.7   	0.2                 	5.2                   	7.21946      	61.6830     	1184.7
09:27.4     	11:23:08.4         	1187.2   	0.2                 	5.4                   	7.21955      	61.6830     	0.0
09:29.4     	11:23:10.4         	1358.1   	0.2                 	5.2                   	7.21973      	61.6829     	1193.6
09:30.4     	11:23:11.4         	1363.0   	0.2                 	4.9                   	7.21981      	61.6829     	1196.6
09:31.3     	11:23:12.3         	---      	---                 	---                   	---          	---         	---
09:32.5     	11:23:13.5         	1371.5   	0.1                 	4.3                   	7.21995      	61.6829     	1202.4
09:33.4     	11:23:14.4         	1375.7   	0.2                 	4.2                   	7.22002      	61.6829     	1205.4
09:35.4     	11:23:16.4         	1384.1   	0.2                 	4.4                   	7.22015      	61.6829     	1211.5
09:36.3     	11:23:17.3         	1387.9   	0.2                 	4.2                   	7.22021      	61.6828     	1214.4
09:37.4     	11:23:18.4         	1391.5   	0.2                 	4.0                   	7.22027      	61.6828     	1217.2
09:38.3     	11:23:19.3         	1394.7   	0.2                 	3.7                   	7.22031      	61.6828     	1220.0
09:39.4     	11:23:20.4         	1398.6   	0.2                 	3.9                   	7.22037      	61.6828     	1222.8
09:40.3     	11:23:21.3         	1403.0   	0.1                 	4.4                   	7.22044      	61.6828     	1225.7
09:41.5     	11:23:22.5         	1407.1   	0.2                 	4.1                   	7.22050      	61.6828     	1228.6
09:43.5     	11:23:24.5         	1415.2   	0.1                 	3.8                   	7.22063      	61.6828     	1234.4
09:44.4     	11:23:25.4         	1419.1   	0.1                 	3.6                   	7.22068      	61.6827     	1237.3
09:46.4     	11:23:27.4         	1427.1   	0.1                 	3.9                   	7.22080      	61.6827     	1243.1
09:47.5     	11:23:28.5         	---      	---                 	---                   	---          	---         	---
09:48.4     	11:23:29.4         	1435.7   	0.2                 	3.8                   	7.22092      	61.6827     	1249.0
09:51.3     	11:23:32.3         	1448.2   	0.1                 	3.5                   	7.22110      	61.6827     	1257.8
09:52.4     	11:23:33.4         	1452.4   	0.1                 	3.6                   	7.22116      	61.6827     	1260.7
09:53.3     	11:23:34.3         	1456.8   	0.2                 	3.8                   	7.22123      	61.6827     	1263.7
09:55.3     	11:23:36.3         	1466.8   	0.2                 	4.5                   	7.22139      	61.6827     	1269.7
09:56.4     	11:23:37.4         	1472.1   	0.2                 	5.0                   	7.22148      	61.6827     	1272.7
09:58.4     	11:23:39.4         	1482.5   	0.2                 	4.9                   	7.22165      	61.6827     	1278.8
10:00.5     	11:23:41.5         	1492.6   	0.2                 	4.7                   	7.22181      	61.6826     	1284.8
10:01.4     	11:23:42.4         	1497.6   	0.2                 	4.8                   	7.22190      	61.6826     	1287.8
10:02.5     	11:23:43.5         	1502.4   	0.2                 	4.8                   	7.22198      	61.6826     	1290.7
10:03.4     	11:23:44.4         	1507.9   	0.1                 	5.1                   	7.22207      	61.6826     	1293.7
10:04.3     	11:23:45.3         	1513.2   	0.1                 	5.3                   	7.22216      	61.6826     	1296.5
10:05.4     	11:23:46.4         	---      	---                 	---                   	---          	---         	---
10:06.3     	11:23:47.3         	1525.4   	0.1                 	6.1                   	7.22238      	61.6826     	1302.3
10:07.4     	11:23:48.4         	1321.5   	0.1                 	6.4                   	7.22251      	61.6826     	0.0
10:08.4     	11:23:49.4         	1539.3   	0.2                 	6.7                   	7.22264      	61.6825     	1308.5
10:09.5     	11:23:50.5         	1546.6   	0.1                 	6.8                   	7.22277      	61.6825     	1311.6
10:10.4     	11:23:51.4         	1554.5   	0.1                 	7.3                   	7.22293      	61.6825     	1314.8
10:11.5     	11:23:52.5         	1563.3   	0.2                 	8.0                   	7.22310      	61.6825     	1318.1
10:12.4     	11:23:53.4         	1571.4   	0.2                 	8.1                   	7.22325      	61.6824     	1321.5
10:13.5     	11:23:54.5         	1579.2   	0.3                 	7.8                   	7.22339      	61.6824     	1324.8
10:14.4     	11:23:55.4         	1587.0   	0.2                 	7.7                   	7.22354      	61.6824     	1328.0
10:15.5     	11:23:56.5         	1595.3   	0.2                 	8.2                   	7.22370      	61.6824     	1331.2
10:17.2     	11:23:58.2         	1612.2   	0.2                 	8.5                   	7.22402      	61.6823     	1337.7
10:18.5     	11:23:59.5         	1621.1   	0.2                 	9.0                   	7.22419      	61.6823     	1341.0
10:19.3     	11:24:00.3         	1630.2   	0.3                 	8.8                   	7.22436      	61.6823     	1344.4
10:20.5     	11:24:01.5         	1639.7   	0.3                 	9.4                   	7.22453      	61.6823     	1347.7
10:21.3     	11:24:02.3         	1649.7   	0.2                 	9.8                   	7.22472      	61.6823     	1351.1
10:22.5     	11:24:03.5         	1659.5   	0.3                 	9.2                   	7.22490      	61.6823     	1354.6
10:23.3     	11:24:04.3         	1668.9   	0.4                 	8.7                   	7.22506      	61.6823     	1358.2
10:26.5     	11:24:07.5         	1688.1   	0.4                 	9.6                   	7.22541      	61.6823     	1365.4
10:28.5     	11:24:09.5         	1718.6   	0.5                 	9.6                   	7.22597      	61.6824     	1376.4
10:29.4     	11:24:10.4         	1728.6   	0.5                 	9.6                   	7.22615      	61.6824     	1380.1
10:31.4     	11:24:12.4         	1749.0   	0.5                 	9.9                   	7.22652      	61.6824     	1387.8
10:32.3     	11:24:13.3         	1759.6   	0.5                 	10.5                  	7.22671      	61.6824     	1391.6
10:33.4     	11:24:14.4         	1538.4   	0.6                 	10.9                  	7.22691      	61.6824     	0.0
10:34.3     	11:24:15.3         	1782.1   	0.6                 	11.1                  	7.22712      	61.6824     	1399.6
10:35.4     	11:24:16.4         	1793.5   	0.7                 	10.7                  	7.22733      	61.6824     	1403.8
10:36.4     	11:24:17.4         	1804.5   	0.7                 	10.4                  	7.22752      	61.6824     	1407.9
10:37.5     	11:24:18.5         	1815.5   	0.7                 	10.5                  	7.22772      	61.6824     	1412.0
10:38.4     	11:24:19.4         	1826.7   	0.7                 	10.6                  	7.22792      	61.6824     	1416.3
10:40.4     	11:24:21.4         	---      	---                 	---                   	---          	---         	---
10:41.5     	11:24:22.5         	1859.3   	0.9                 	9.6                   	7.22849      	61.6824     	1429.7
10:43.5     	11:24:24.5         	1880.3   	0.9                 	10.1                  	7.22885      	61.6824     	1438.6
10:44.4     	11:24:25.4         	1891.3   	0.9                 	10.2                  	7.22904      	61.6824     	1443.2
10:45.4     	11:24:26.4         	1902.1   	0.9                 	9.9                   	7.22923      	61.6825     	1447.9
10:46.5     	11:24:27.5         	1913.0   	1.0                 	10.0                  	7.22941      	61.6825     	1452.6
10:47.4     	11:24:28.4         	1924.2   	1.0                 	10.5                  	7.22960      	61.6825     	1457.4
10:48.4     	11:24:29.4         	1935.9   	1.0                 	11.1                  	7.22980      	61.6825     	1462.2
10:49.3     	11:24:30.3         	1948.0   	1.1                 	11.1                  	7.23000      	61.6825     	1467.4
10:50.4     	11:24:31.4         	1960.2   	1.1                 	11.2                  	7.23021      	61.6826     	1472.6
10:51.3     	11:24:32.3         	1972.2   	1.2                 	10.7                  	7.23042      	61.6826     	1477.7
10:52.4     	11:24:33.4         	1729.1   	1.2                 	10.4                  	7.23062      	61.6826     	0.0
10:53.3     	11:24:34.3         	1995.6   	1.2                 	10.2                  	7.23081      	61.6826     	1488.2
10:54.5     	11:24:35.5         	2006.8   	1.3                 	9.7                   	7.23099      	61.6826     	1493.7
10:55.4     	11:24:36.4         	2018.0   	1.4                 	9.4                   	7.23116      	61.6826     	1499.6
10:56.5     	11:24:37.5         	2029.2   	1.5                 	9.5                   	7.23133      	61.6827     	1505.8
10:57.4     	11:24:38.4         	1776.3   	1.5                 	9.9                   	7.23151      	61.6827     	0.0
10:58.5     	11:24:39.5         	2052.8   	1.6                 	10.8                  	7.23171      	61.6827     	1518.0
10:59.4     	11:24:40.4         	---      	---                 	---                   	---          	---         	---
11:00.3     	11:24:41.3         	2078.9   	1.8                 	11.4                  	7.23213      	61.6828     	1531.0
11:01.4     	11:24:42.4         	2092.2   	1.9                 	11.3                  	7.23234      	61.6828     	1537.9
11:03.5     	11:24:44.5         	2119.4   	2.2                 	11.0                  	7.23275      	61.6828     	1552.8
11:04.4     	11:24:45.4         	1852.5   	2.4                 	10.7                  	7.23296      	61.6829     	0.0
11:06.4     	11:24:47.4         	2159.9   	2.9                 	9.8                   	7.23333      	61.6829     	1578.6
11:07.5     	11:24:48.5         	2173.0   	3.1                 	9.5                   	7.23351      	61.6829     	1587.7
11:08.4     	11:24:49.4         	2186.4   	3.4                 	10.0                  	7.23369      	61.6830     	1597.1
11:09.5     	11:24:50.5         	2200.2   	3.6                 	10.9                  	7.23388      	61.6830     	1606.4
11:10.4     	11:24:51.4         	2214.1   	3.6                 	11.8                  	7.23409      	61.6830     	1614.6
11:11.5     	11:24:52.5         	2229.1   	3.6                 	12.6                  	7.23431      	61.6830     	1623.2
11:12.5     	11:24:53.5         	2244.5   	3.6                 	12.6                  	7.23455      	61.6831     	1632.1
11:13.3     	11:24:54.3         	2260.0   	3.7                 	12.4                  	7.23477      	61.6831     	1641.2
11:14.5     	11:24:55.5         	2275.4   	3.8                 	12.2                  	7.23500      	61.6831     	1650.6
11:15.3     	11:24:56.3         	2290.6   	3.9                 	11.8                  	7.23522      	61.6832     	1660.0
11:16.5     	11:24:57.5         	2305.4   	4.0                 	11.2                  	7.23543      	61.6832     	1669.4
11:17.3     	11:24:58.3         	2319.7   	4.1                 	10.5                  	7.23563      	61.6832     	1679.0
11:18.5     	11:24:59.5         	2333.3   	4.0                 	10.7                  	7.23581      	61.6833     	1687.9
11:19.3     	11:25:00.3         	2347.4   	4.1                 	11.1                  	7.23601      	61.6833     	1697.3
11:20.5     	11:25:01.5         	2026.7   	0.0                 	11.5                  	7.23622      	61.6833     	0.0
11:21.3     	11:25:02.3         	2376.5   	4.1                 	11.6                  	7.23643      	61.6834     	1715.6
11:22.6     	11:25:03.6         	---      	---                 	---                   	---          	---         	---
11:24.5     	11:25:05.5         	2419.3   	3.9                 	10.6                  	7.23704      	61.6834     	1743.0
11:25.4     	11:25:06.4         	2433.4   	3.9                 	11.0                  	7.23723      	61.6835     	1752.3
11:26.5     	11:25:07.5         	2447.7   	3.8                 	11.3                  	7.23744      	61.6835     	1761.3
11:27.4     	11:25:08.4         	2462.3   	3.7                 	11.7                  	7.23765      	61.6835     	1770.2
11:28.3     	11:25:09.3         	---      	---                 	---                   	---          	---         	---
11:29.4     	11:25:10.4         	2491.7   	3.6                 	11.6                  	7.23808      	61.6836     	1788.1
11:30.3     	11:25:11.3         	---      	---                 	---                   	---          	---         	---
11:31.5     	11:25:12.5         	2520.4   	3.5                 	11.1                  	7.23850      	61.6836     	1805.8
11:32.4     	11:25:13.4         	2534.3   	3.5                 	10.7                  	7.23869      	61.6836     	1814.7
11:33.5     	11:25:14.5         	2548.2   	3.5                 	10.5                  	7.23889      	61.6837     	1823.7
11:34.4     	11:25:15.4         	2561.2   	3.4                 	10.3                  	7.23907      	61.6837     	1831.9
11:35.5     	11:25:16.5         	2189.6   	0.0                 	10.2                  	7.23926      	61.6837     	0.0
11:36.4     	11:25:17.4         	---      	---                 	---                   	---          	---         	---
11:37.5     	11:25:18.5         	---      	---                 	---                   	---          	---         	---
11:39.5     	11:25:20.5         	2230.9   	0.0                 	10.9                  	7.24003      	61.6838     	0.0
