time,temperature,Altitude (m),longitude,latitude
13/09/2023 12:41:50,15.171 °C,568.086159527302,7.25275534950561,61.6405635495621
13/09/2023 12:41:52,15.167 °C,568.189824730158,7.25274701950184,61.6405646308122
13/09/2023 12:41:54,15.162 °C,568.293489873409,7.25273868950353,61.6405657120622
13/09/2023 12:41:56,15.159 °C,568.397155016661,7.2527303595034,61.6405667933118
13/09/2023 12:41:58,15.155 °C,568.599794626236,7.25272035262242,61.6405707683989
13/09/2023 12:42:00,15.151 °C,568.923403024674,7.25270829622241,61.6405782803995
13/09/2023 12:42:02,15.148 °C,569.247011423111,7.2526962398224,61.6405857923983
13/09/2023 12:42:04,15.145 °C,569.584387302399,7.25268470706214,61.6405947993226
13/09/2023 12:42:06,15.142 °C,569.922487974167,7.25267320185958,61.6406038849236
13/09/2023 12:42:08,15.139 °C,570.195927500725,7.2526603976039,61.6406109078998
13/09/2023 12:42:10,15.136 °C,570.390336692333,7.25264600560331,61.6406154099004
13/09/2023 12:42:12,15.135 °C,570.584745883942,7.25263161360272,61.640619911901
13/09/2023 12:42:14,15.133 °C,570.641497805715,7.25261189779121,61.64061997968
13/09/2023 12:42:16,15.132 °C,570.691004633904,7.25259190179349,61.64061981408
13/09/2023 12:42:18,15.131 °C,570.777078360319,7.25257002588478,61.6406184934203
13/09/2023 12:42:20,15.129 °C,570.90784496069,7.25254585228686,61.6406157610209
13/09/2023 12:42:22,15.128 °C,571.038611620665,7.25252167867438,61.6406130286196
13/09/2023 12:42:24,15.125 °C,571.341848611832,7.25249473487929,61.640610711559
13/09/2023 12:42:26,15.123 °C,571.654163002968,7.25246764528129,61.64060841636
13/09/2023 12:42:28,15.120 °C,572.054642796516,7.25244186896452,61.6406072629
13/09/2023 12:42:30,15.118 °C,572.562880277634,7.25241769776039,61.6406075049001
13/09/2023 12:42:32,15.115 °C,573.071117520332,7.25239352656354,61.6406077469
13/09/2023 12:42:34,15.112 °C,573.453472495079,7.25238213040939,61.6406089315115
13/09/2023 12:42:36,15.107 °C,573.82920217514,7.25237140663012,61.6406101657335
13/09/2023 12:42:38,15.106 °C,574.204931974411,7.25236068285085,61.640611399956
13/09/2023 12:42:40,15.103 °C,574.580661654472,7.25234995907158,61.6406126341785
13/09/2023 12:42:42,15.099 °C,575.022521138191,7.25233949394897,61.6406156452013
13/09/2023 12:42:44,15.097 °C,575.545205831528,7.25232934495216,61.6406208278659
13/09/2023 12:42:46,15.094 °C,576.067890644073,7.25231919594808,61.6406260105341
13/09/2023 12:42:48,15.092 °C,576.614152431488,7.25230858390205,61.6406325346197
13/09/2023 12:42:50,15.089 °C,577.189230442047,7.25229740590294,61.6406406982187
13/09/2023 12:42:52,15.087 °C,577.764308452606,7.25228622790382,61.6406488618177
13/09/2023 12:42:54,15.084 °C,578.464668035507,7.25227386050028,61.6406580388793
13/09/2023 12:42:56,15.080 °C,579.171621322632,7.25226143050168,61.6406672692792
13/09/2023 12:42:58,15.077 °C,579.753723502159,7.2522588034808,61.6406748849913
13/09/2023 12:43:00,15.074 °C,580.183230280876,7.25226815787755,61.6406805271909
13/09/2023 12:43:02,15.070 °C,580.612737178803,7.25227751228158,61.6406861693904
13/09/2023 12:43:04,15.067 °C,581.04224395752,7.25228686667833,61.6406918115899
13/09/2023 12:43:06,15.064 °C,581.471750736237,7.25229622107872,61.6406974537895
13/09/2023 12:43:08,15.060 °C,581.960616588593,7.25230121489017,61.6407048256078
13/09/2023 12:43:10,15.057 °C,582.522032499313,7.25230087909006,61.6407143114084
13/09/2023 12:43:12,15.053 °C,583.083448648453,7.25230054329018,61.6407237972089
13/09/2023 12:43:14,15.050 °C,583.644864559174,7.25230020749018,61.6407332830058
13/09/2023 12:43:16,15.045 °C,584.206280708313,7.25229987169007,61.6407427688064
