Time [sec]	Time (UTC)	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Ws U [m/s]	Ws V [m/s]	Geopot [m]	Dew [°C]
1         	05:19:44  	955.0  	4.20  	84    	0.7     	337   	0.3       	-0.6      	411       	1.9
2         	05:19:46  	955.0  	4.20  	84    	0.7     	337   	0.3       	-0.6      	413       	1.7
3         	05:19:47  	955.0  	4.20  	84    	0.7     	337   	0.3       	-0.6      	414       	1.7
4         	05:19:48  	955.0  	4.30  	84    	0.7     	337   	0.3       	-0.6      	412       	1.8
5         	05:19:49  	954.9  	4.30  	85    	0.7     	337   	0.3       	-0.6      	411       	1.9
6         	05:19:50  	954.9  	4.30  	85    	0.6     	340   	0.2       	-0.6      	411       	2.0
7         	05:19:51  	954.9  	4.30  	85    	0.4     	352   	0.1       	-0.4      	411       	2.0
8         	05:19:52  	954.9  	4.30  	85    	0.4     	352   	0.1       	-0.4      	411       	2.1
9         	05:19:53  	954.9  	4.40  	85    	0.4     	352   	0.1       	-0.4      	411       	2.1
10        	05:19:54  	955.0  	4.40  	85    	0.4     	352   	0.1       	-0.4      	411       	2.2
11        	05:19:55  	955.0  	4.40  	85    	0.4     	352   	0.1       	-0.4      	411       	2.2
12        	05:19:56  	955.0  	4.40  	85    	0.4     	352   	0.1       	-0.4      	411       	2.2
13        	05:19:57  	955.0  	4.40  	85    	0.4     	352   	0.1       	-0.4      	411       	2.1
14        	05:19:58  	955.0  	4.30  	85    	0.4     	352   	0.1       	-0.4      	411       	2.1
15        	05:19:59  	955.0  	4.40  	85    	0.4     	352   	0.1       	-0.4      	411       	2.1
16        	05:20:00  	955.0  	4.40  	85    	0.4     	352   	0.1       	-0.4      	411       	2.1
17        	05:20:01  	955.0  	4.40  	85    	0.4     	352   	0.1       	-0.4      	411       	2.2
18        	05:20:02  	955.0  	4.40  	85    	0.4     	352   	0.1       	-0.4      	411       	2.2
19        	05:20:03  	955.0  	4.40  	85    	0.5     	360   	0.0       	-0.5      	410       	2.2
20        	05:20:04  	955.0  	4.40  	85    	0.5     	360   	0.0       	-0.5      	410       	2.1
21        	05:20:05  	955.0  	4.40  	85    	0.5     	360   	0.0       	-0.5      	410       	2.1
