Time,COM Elapse,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,,
2023/09/14 18:34:09.3280,1213.711,955.12,3.65,62.5,4.53,2023/09/14,04:47:46,7.1979915,61.6859052,558.337,7,5-LOW,,
2023/09/14 18:34:09.3599,1213.743,955.12,3.65,62.6,4.49,2023/09/14,04:47:47,7.1980001,61.6859104,558.714,7,5-LOW,,
2023/09/14 18:34:09.3827,1213.765,955.12,3.59,62.8,4.45,2023/09/14,04:47:48,7.1980043,61.6859092,560.122,7,5-LOW,,
2023/09/14 18:34:09.4107,1213.793,955.18,3.54,63,4.4,2023/09/14,04:47:49,7.1980094,61.6859088,561.148,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.4378,1213.821,955.17,3.56,63.2,4.35,2023/09/14,04:47:50,7.1980136,61.6859106,561.951,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.4578,1213.841,955.2,3.29,63.6,4.29,2023/09/14,04:47:51,7.1980123,61.6859136,561.315,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.4879,1213.871,955.18,3.21,63.8,4.25,2023/09/14,04:47:52,7.1980134,61.6859148,561.316,7,5-LOW,,
2023/09/14 18:34:09.5175,1213.9,955.16,3.41,63.9,4.21,2023/09/14,04:47:53,7.1980144,61.6859149,561.194,7,5-LOW,,
2023/09/14 18:34:09.5420,1213.925,955.16,3.44,64,4.16,2023/09/14,04:47:54,7.1980139,61.6859148,560.716,7,5-LOW,,
2023/09/14 18:34:09.5688,1213.952,955.15,3.27,64.3,4.14,2023/09/14,04:47:55,7.1980114,61.6859099,560.778,7,5-LOW,,
2023/09/14 18:34:09.5875,1213.97,955.16,3.18,64.5,4.09,2023/09/14,04:47:56,7.1980081,61.6858985,561.439,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.6177,1214,955.16,3.13,64.8,4.04,2023/09/14,04:47:57,7.1980093,61.685896,561.528,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.6478,1214.031,955.16,3.14,65,3.98,2023/09/14,04:47:58,7.1980128,61.6858968,562.937,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.6726,1214.055,955.07,3.21,65.1,3.97,2023/09/14,04:47:59,7.1980122,61.6858954,563.591,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.6978,1214.081,954.97,3.3,65.2,3.97,2023/09/14,04:48:00,7.1980063,61.6858946,563.075,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.7247,1214.107,954.89,4.1,65.1,4.04,2023/09/14,04:48:01,7.1980078,61.6858955,564.269,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.7381,1214.121,954.84,4.54,64.9,4.11,2023/09/14,04:48:02,7.1980101,61.6858946,565.106,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.7694,1214.152,954.79,4.66,64.6,4.16,2023/09/14,04:48:03,7.1980101,61.6859067,564.33,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.7975,1214.18,954.77,4.32,64.5,4.18,2023/09/14,04:48:04,7.1980074,61.6859116,563.714,7,5-LOW,,
2023/09/14 18:34:09.8252,1214.208,954.75,4.52,64.3,4.22,2023/09/14,04:48:05,7.1980133,61.6859143,565.106,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.8480,1214.231,954.72,4.67,64.1,4.26,2023/09/14,04:48:06,7.1980152,61.6859189,566.139,7,5-LOW,ASCENT,ASCENT
2023/09/14 18:34:09.8776,1214.26,954.44,4.72,63.9,4.33,2023/09/14,04:48:07,7.1980221,61.6859315,568.019,7,5-LOW,ASCENT,ASCENT
