Meﬂstellenbeschreibung:
Logger Seriennummer   :080022022176
Logging Methode: Augenblickswerte
Messintervall: 05 min Speicherintervall: 00:05:00 Messungen: 1
Datum	Zeit	  1.Temperatur    [∞C]	  2.rel.Feuchte    [%]	
12.09.23	08:00:00	   20,8987	   45,8288	
12.09.23	08:05:00	   20,2686	   46,7888	
12.09.23	08:10:00	   19,6679	   48,4692	
12.09.23	08:15:00	   19,1282	   49,3086	
12.09.23	08:20:00	   18,6593	   51,2897	
12.09.23	08:25:00	   18,3077	   50,7494	
12.09.23	08:30:00	   17,9585	   51,1096	
12.09.23	08:35:00	   17,6899	   51,0699	
12.09.23	08:40:00	   17,3797	   51,1096	
12.09.23	08:45:00	   17,1282	   51,1386	
12.09.23	08:50:00	   16,8694	   51,0989	
12.09.23	08:55:00	   16,6178	   51,0897	
12.09.23	09:00:00	   15,9194	   61,7689	
12.09.23	09:05:00	     15,37	   66,6499	
12.09.23	09:10:00	   14,8889	   66,7598	
12.09.23	09:15:00	   14,4786	   66,2897	
12.09.23	09:20:00	   14,1685	   65,8791	
12.09.23	09:25:00	   13,8999	   64,2292	
12.09.23	09:30:00	     13,58	   62,1886	
12.09.23	09:35:00	    13,199	   61,3294	
12.09.23	09:40:00	   12,8498	   61,3996	
12.09.23	09:45:00	   12,5079	   61,6789	
12.09.23	09:50:00	   12,2393	   61,9597	
12.09.23	09:55:00	   12,0098	   62,4588	
12.09.23	10:00:00	   11,8584	   62,7488	
12.09.23	10:05:00	   11,6899	   62,4893	
12.09.23	10:10:00	   11,5189	   62,4496	
12.09.23	10:15:00	   11,4799	   62,8388	
12.09.23	10:20:00	   11,4188	   63,8385	
12.09.23	10:25:00	     11,37	   64,3895	
12.09.23	10:30:00	   11,3382	   64,5986	
12.09.23	10:35:00	   11,2479	   64,5696	
12.09.23	10:40:00	   11,1795	   64,2399	
12.09.23	10:45:00	   11,0696	   63,7698	
12.09.23	10:50:00	    10,989	   64,7695	
12.09.23	10:55:00	   10,9499	   65,6395	
12.09.23	11:00:00	    10,989	   65,9493	
12.09.23	11:05:00	   11,0281	   65,4396	
12.09.23	11:10:00	   11,0598	   65,8288	
12.09.23	11:15:00	   11,0891	   66,7491	
12.09.23	11:20:00	   11,1477	   67,0894	
12.09.23	11:25:00	   11,2698	     70,29	
12.09.23	11:30:00	     11,37	   72,2985	
12.09.23	11:35:00	   11,4579	   72,8999	
12.09.23	11:40:00	   11,5482	    73,689	
12.09.23	11:45:00	   10,4689	   59,6688	
12.09.23	11:50:00	   10,4786	   56,7598	
12.09.23	11:55:00	   10,6081	   57,7488	
12.09.23	12:00:00	   9,54823	   58,6691	
12.09.23	12:05:00	   9,14774	   57,0894	
12.09.23	12:10:00	   8,47863	   57,9991	
12.09.23	12:15:00	   7,86813	   58,6691	
12.09.23	12:20:00	   7,47985	   59,5696	
12.09.23	12:25:00	   7,19902	   60,1999	
12.09.23	12:30:00	   8,00977	   58,1593	
